;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
415;"BeyondRo5Filter;OpreaFilter";78.4605;-18.6516;76.2281
556;"GlaxoFilter;MLSMRFilter";78.4605;-18.6628;76.2138
524;"FAF4LeadlikeFilter;TiceHerbicidesFilter";78.4605;-18.7455;76.1083
724;"NIHFilter;ZINCDruglikeFilter";78.4605;-18.7567;76.0941
775;"RuleOfVeberFilter;TiceInsecticidesFilter";78.4605;-18.7947;76.0456
676;"MLSMRFilter;RuleOfXuFilter";78.4605;-18.797;76.0428
572;"GlaxoFilter;ZINCDruglikeFilter";78.4605;-18.8082;76.0285
640;"LINTFilter;REOSFilter";78.4605;-18.8395;75.9886
785;"SureChEMBLFilter;TiceHerbicidesFilter";78.4605;-18.9245;75.8803
712;"NIHFilter;OpreaFilter";78.4605;-19.0453;75.7263
529;"GhoseFilter;GlaxoFilter";78.4605;-19.0721;75.6921
427;"BeyondRo5Filter;ZINCDruglikeFilter";78.4605;-19.0945;75.6636
675;"MLSMRFilter;RuleOfVeberFilter";78.4605;-19.1057;75.6493
667;"MLSMRFilter;MolecularWeightFilter";78.4605;-19.1236;75.6265
711;"NIBRFilter;ZINCDruglikeFilter";78.4605;-19.1392;75.6066
498;"FAF4DruglikeFilter;RuleOfVeberFilter";78.4605;-19.1504;75.5923
706;"NIBRFilter;SureChEMBLFilter";78.4605;-19.1705;75.5666
663;"LipinskiFilter;TiceInsecticidesFilter";78.4605;-19.1817;75.5524
520;"FAF4LeadlikeFilter;REOSFilter";78.4605;-19.2019;75.5267
725;"OpreaFilter;PAINSFilter";78.4605;-19.2287;75.4925
564;"GlaxoFilter;RuleOfFourFilter";78.4605;-19.2555;75.4583
477;"BrenkFilter;TiceInsecticidesFilter";78.4605;-19.3316;75.3614
531;"GhoseFilter;HaoFilter";78.4605;-19.3406;75.35
497;"FAF4DruglikeFilter;RuleOfFourFilter";78.4605;-19.3696;75.3129
721;"NIHFilter;TiceInsecticidesFilter";78.4605;-19.3853;75.2929
708;"NIBRFilter;TiceInsecticidesFilter";78.4605;-19.4792;75.1732
728;"OpreaFilter;RuleOfVeberFilter";78.4605;-19.5777;75.0478
729;"OpreaFilter;RuleOfXuFilter";78.4605;-19.5956;75.0249
438;"BMSFilter;MLSMRFilter";78.4605;-19.6381;74.9708
459;"BrenkFilter;GSKFilter";78.4605;-19.6492;74.9565
743;"PAINSFilter;TiceInsecticidesFilter";78.4605;-19.6985;74.8938
730;"OpreaFilter;SureChEMBLFilter";78.4605;-19.7096;74.8795
795;"TiceInsecticidesFilter;ZINCBasicFilter";78.4605;-19.7164;74.871
677;"MLSMRFilter;SureChEMBLFilter";78.4605;-19.7387;74.8425
587;"GSKFilter;SureChEMBLFilter";78.4605;-19.7633;74.8111
734;"OpreaFilter;ZINCBasicFilter";78.4605;-19.77;74.8026
544;"GhoseFilter;RuleOfXuFilter";78.4605;-19.7723;74.7997
536;"GhoseFilter;MolecularWeightFilter";78.4605;-19.8662;74.68
685;"MolecularWeightFilter;OpreaFilter";78.4605;-19.9535;74.5688
595;"HaoFilter;LipinskiFilter";78.4605;-19.9579;74.5631
483;"FAF4DruglikeFilter;GlaxoFilter";78.4605;-19.9579;74.5631
442;"BMSFilter;OpreaFilter";78.4605;-19.9624;74.5574
480;"BrenkFilter;ZINCDruglikeFilter";78.4605;-20.0922;74.392
694;"MolecularWeightFilter;TiceInsecticidesFilter";78.4605;-20.128;74.3464
540;"GhoseFilter;PAINSFilter";78.4605;-20.1481;74.3207
568;"GlaxoFilter;TiceHerbicidesFilter";78.4605;-20.1637;74.3008
611;"HaoFilter;ZINCBasicFilter";78.4605;-20.2286;74.2181
490;"FAF4DruglikeFilter;MolecularWeightFilter";78.4605;-20.242;74.201
672;"MLSMRFilter;PfizerFilter";78.4605;-20.3091;74.1155
746;"PAINSFilter;ZINCDruglikeFilter";78.4605;-20.3718;74.0356
562;"GlaxoFilter;PfizerFilter";78.4605;-20.3763;74.0299
612;"HaoFilter;ZINCDruglikeFilter";78.4605;-20.412;73.9843
584;"GSKFilter;REOSFilter";78.4605;-20.4792;73.8988
671;"MLSMRFilter;PAINSFilter";78.4605;-20.4814;73.8959
539;"GhoseFilter;OpreaFilter";78.4605;-20.544;73.8161
590;"GSKFilter;ValenceDiscoveryFilter";78.4605;-20.5753;73.7762
549;"GhoseFilter;ZINCBasicFilter";78.4605;-20.5865;73.7619
493;"FAF4DruglikeFilter;OpreaFilter";78.4605;-20.5999;73.7448
548;"GhoseFilter;ValenceDiscoveryFilter";78.4605;-20.6156;73.7249
573;"GSKFilter;HaoFilter";78.4605;-20.6313;73.7049
492;"FAF4DruglikeFilter;NIHFilter";78.4605;-20.6514;73.6793
505;"FAF4DruglikeFilter;ZINCDruglikeFilter";78.4605;-20.7096;73.6051
494;"FAF4DruglikeFilter;PAINSFilter";78.4605;-20.7543;73.5481
603;"HaoFilter;REOSFilter";78.4605;-20.8729;73.397
431;"BMSFilter;GhoseFilter";78.4605;-20.9109;73.3485
605;"HaoFilter;RuleOfVeberFilter";78.4605;-20.9176;73.34
451;"BMSFilter;TiceInsecticidesFilter";78.4605;-20.9623;73.283
547;"GhoseFilter;TiceInsecticidesFilter";78.4605;-21.0004;73.2345
597;"HaoFilter;MolecularWeightFilter";78.4605;-21.1055;73.1005
537;"GhoseFilter;NIBRFilter";78.4605;-21.1413;73.0549
429;"BMSFilter;FAF4DruglikeFilter";78.4605;-21.2151;72.9608
589;"GSKFilter;TiceInsecticidesFilter";78.4605;-21.2889;72.8667
503;"FAF4DruglikeFilter;ValenceDiscoveryFilter";78.4605;-21.3314;72.8125
504;"FAF4DruglikeFilter;ZINCBasicFilter";78.4605;-21.4254;72.6928
781;"RuleOfXuFilter;TiceInsecticidesFilter";78.4605;-21.5931;72.479
434;"BMSFilter;HaoFilter";78.4605;-21.611;72.4562
538;"GhoseFilter;NIHFilter";78.4605;-21.6222;72.4419
769;"RuleOfFourFilter;ValenceDiscoveryFilter";78.4605;-21.6356;72.4248
794;"TiceInsecticidesFilter;ValenceDiscoveryFilter";78.4605;-21.6647;72.3877
482;"FAF4DruglikeFilter;GhoseFilter";78.4605;-21.6983;72.345
407;"BeyondRo5Filter;HaoFilter";78.4605;-21.705;72.3364
534;"GhoseFilter;LipinskiFilter";78.4605;-21.7139;72.325
404;"BeyondRo5Filter;GhoseFilter";78.4605;-21.7229;72.3136
402;"BeyondRo5Filter;FAF4DruglikeFilter";78.4605;-21.7654;72.2594
552;"GlaxoFilter;HaoFilter";78.4605;-21.7989;72.2167
601;"HaoFilter;PAINSFilter";78.4605;-21.8057;72.2081
619;"InpharmaticaFilter;OpreaFilter";78.4605;-21.9041;72.0827
491;"FAF4DruglikeFilter;NIBRFilter";78.4605;-21.9332;72.0456
543;"GhoseFilter;RuleOfVeberFilter";78.4605;-22.0495;71.8974
733;"OpreaFilter;ValenceDiscoveryFilter";78.4605;-22.0786;71.8603
560;"GlaxoFilter;OpreaFilter";78.4605;-22.139;71.7833
550;"GhoseFilter;ZINCDruglikeFilter";78.4605;-22.168;71.7463
499;"FAF4DruglikeFilter;RuleOfXuFilter";78.4605;-22.2217;71.6778
488;"FAF4DruglikeFilter;LipinskiFilter";78.4605;-22.2262;71.6721
585;"GSKFilter;RuleOfVeberFilter";78.4605;-22.2486;71.6436
594;"HaoFilter;LINTFilter";78.4605;-22.3023;71.5752
495;"FAF4DruglikeFilter;PfizerFilter";78.4605;-22.3738;71.484
789;"SureChEMBLFilter;ZINCDruglikeFilter";78.4605;-22.394;71.4583
464;"BrenkFilter;MLSMRFilter";78.4605;-22.4991;71.3243
755;"PfizerFilter;ZINCDruglikeFilter";78.4605;-22.4991;71.3243
798;"ValenceDiscoveryFilter;ZINCDruglikeFilter";78.4605;-22.555;71.253
732;"OpreaFilter;TiceInsecticidesFilter";78.4605;-22.6423;71.1418
530;"GhoseFilter;GSKFilter";78.4605;-22.6758;71.0991
752;"PfizerFilter;TiceInsecticidesFilter";78.4605;-22.772;70.9765
599;"HaoFilter;NIHFilter";78.4605;-22.8436;70.8852
596;"HaoFilter;MLSMRFilter";78.4605;-22.9018;70.8111
433;"BMSFilter;GSKFilter";78.4605;-22.9666;70.7284
768;"RuleOfFourFilter;TiceInsecticidesFilter";78.4605;-23.0114;70.6714
628;"InpharmaticaFilter;TiceInsecticidesFilter";78.4605;-23.2172;70.4091
582;"GSKFilter;PAINSFilter";78.4605;-23.2843;70.3236
591;"GSKFilter;ZINCBasicFilter";78.4605;-23.4341;70.1326
593;"HaoFilter;InpharmaticaFilter";78.4605;-23.5549;69.9786
580;"GSKFilter;NIHFilter";78.4605;-23.5818;69.9444
598;"HaoFilter;NIBRFilter";78.4605;-23.5863;69.9387
784;"RuleOfXuFilter;ZINCDruglikeFilter";78.4605;-23.6914;69.8047
501;"FAF4DruglikeFilter;TiceHerbicidesFilter";78.4605;-23.7182;69.7705
756;"REOSFilter;RuleOfFourFilter";78.4605;-23.8614;69.588
