;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1012;esol;SGD;FAF4LeadlikeFilter, MolecularWeightFilter;1758116598886.905;1552582169077.4292;88.30939711623203
1318;esol;SGD;RuleOfXuFilter, TiceHerbicidesFilter;1961010038803.7996;1733292141456.5222;88.3877240380583
1313;esol;SGD;RuleOfVeberFilter, TiceInsecticidesFilter;1678499872242.847;1484540869738.9917;88.44450299274177
986;esol;SGD;FAF4DruglikeFilter, MLSMRFilter;3443659732187.0947;3055932793101.676;88.74084638904871
1310;esol;SGD;RuleOfVeberFilter, RuleOfXuFilter;1892978722485.9912;1684624400411.661;88.99330882067682
730;esol;MLP;LipinskiFilter, ZINCBasicFilter;1.1626;1.0352;89.03548552570231
1284;esol;SGD;REOSFilter, TiceHerbicidesFilter;1531378832864.974;1367966279238.0386;89.32905757086796
1127;esol;SGD;InpharmaticaFilter, PAINSFilter;2242990862599.0635;2004690356065.942;89.37577007081558
1077;esol;SGD;GSKFilter, HaoFilter;3318126332786.028;2970345245690.1763;89.51875087878763
1267;esol;SGD;PAINSFilter, ZINCBasicFilter;1351256382438.5632;1211877512487.644;89.68523873320123
183;esol;SVM;GlaxoFilter, ZINCBasicFilter;1.2683;1.1397;89.86234696172998
993;esol;SGD;FAF4DruglikeFilter, REOSFilter;1969771211690.744;1773473311474.9548;90.03448222561352
1092;esol;SGD;GSKFilter, RuleOfXuFilter;1605889996054.571;1446081553000.8438;90.04860585430183
956;esol;SGD;BrenkFilter, HaoFilter;2392793480017.087;2157226529470.9429;90.15514909609074
1109;esol;SGD;HaoFilter, REOSFilter;1686493802411.6497;1520495983898.2668;90.15722333067518
451;esol;MLP;BeyondRo5Filter, GlaxoFilter;1.2011;1.0837;90.22734451365557
927;esol;SGD;BMSFilter, GSKFilter;2777301195266.433;2505965088438.407;90.23022395660634
1322;esol;SGD;RuleOfXuFilter, ZINCDruglikeFilter;1748876269843.429;1579476514271.535;90.31379414925334
869;esol;MLP;RuleOfVeberFilter, ZINCBasicFilter;1.158;1.0513;90.78474787155632
1219;esol;SGD;NIBRFilter, RuleOfTwoFilter;4372645768925.793;3984443595327.154;91.12203013659607
1213;esol;SGD;NIBRFilter, OpreaFilter;1597632912373.8125;1456693765535.8154;91.17825216628862
968;esol;SGD;BrenkFilter, RuleOfThreeFilter;4472934002458.975;4097288299364.804;91.60180537232026
1173;esol;SGD;LipinskiFilter, TiceHerbicidesFilter;1455772570837.8933;1337361199052.488;91.86608030969758
891;esol;MLP;ZINCBasicFilter, ZINCDruglikeFilter;1.1524;1.0609;92.06273543397067
1143;esol;SGD;LINTFilter, NIBRFilter;3983836282841.748;3668419975033.0425;92.08259864575275
1319;esol;SGD;RuleOfXuFilter, TiceInsecticidesFilter;1616239588139.5344;1498929733737.0237;92.74180293173322
474;esol;MLP;BeyondRo5Filter, ZINCBasicFilter;1.1608;1.0789;92.93756403560405
821;esol;MLP;PAINSFilter, ZINCBasicFilter;1.113;1.0394;93.39094937964693
1288;esol;SGD;REOSFilter, ZINCDruglikeFilter;1268514543693.14;1185055190819.623;93.42070193136816
1216;esol;SGD;NIBRFilter, REOSFilter;2012732145683.4905;1881369172506.2595;93.47340015118493
1045;esol;SGD;GhoseFilter, RuleOfVeberFilter;1670439014541.3608;1562330885943.6487;93.52816070167071
630;esol;MLP;GlaxoFilter, ZINCDruglikeFilter;1.1735;1.0981;93.57483276136789
613;esol;MLP;GlaxoFilter, MolecularWeightFilter;1.2025;1.1262;93.65763965029612
714;esol;MLP;LipinskiFilter, MolecularWeightFilter;1.1919;1.1201;93.97274997755446
1243;esol;SGD;OpreaFilter, PAINSFilter;1689683706524.2498;1596791739640.3667;94.50240500484166
617;esol;MLP;GlaxoFilter, PAINSFilter;1.1974;1.1358;94.85561206153292
1140;esol;SGD;LINTFilter, LipinskiFilter;2803794762872.232;2664693979099.0225;95.0388385906423
1315;esol;SGD;RuleOfVeberFilter, ZINCBasicFilter;1676176880844.766;1595417929334.8745;95.18195529166407
623;esol;MLP;GlaxoFilter, RuleOfVeberFilter;1.187;1.1305;95.23962159089128
65;esol;SVM;BrenkFilter, InpharmaticaFilter;1.4886;1.4184;95.28249695920002
971;esol;SGD;BrenkFilter, RuleOfXuFilter;1416881909743.0432;1352615646525.9626;95.46424703603313
1253;esol;SGD;OpreaFilter, ValenceDiscoveryFilter;2140089509150.64;2048693644267.3015;95.72934381984744
1262;esol;SGD;PAINSFilter, RuleOfXuFilter;1740767308428.0452;1668175194447.5156;95.82987837437722
611;esol;MLP;GlaxoFilter, LipinskiFilter;1.1841;1.1371;96.03399690705547
1302;esol;SGD;RuleOfThreeFilter, ZINCDruglikeFilter;3796344274065.5073;3662081083931.58;96.46335578542921
902;esol;SGD;BeyondRo5Filter, LipinskiFilter;1989421638343.6555;1919215533910.2727;96.47102941476827
1276;esol;SGD;PfizerFilter, TiceInsecticidesFilter;1690220068137.637;1640509033150.5825;97.05890162327628
1218;esol;SGD;NIBRFilter, RuleOfThreeFilter;3570762382752.6406;3470734844615.811;97.19870639894778
1324;esol;SGD;SureChEMBLFilter, TiceInsecticidesFilter;2193062898960.72;2145405816314.4736;97.82691674421054
958;esol;SGD;BrenkFilter, LINTFilter;3619128557330.696;3580304955266.74;98.92726656572293
1019;esol;SGD;FAF4LeadlikeFilter, RuleOfThreeFilter;3168247685470.977;3135897662178.9946;98.97893010573846
870;esol;MLP;RuleOfVeberFilter, ZINCDruglikeFilter;1.1277;1.1172;99.07102233296024
1150;esol;SGD;LINTFilter, RuleOfTwoFilter;4114166813105.189;4098232393920.2383;99.61269389626611
314;esol;SVM;MolecularWeightFilter, SureChEMBLFilter;1.2771;1.274;99.7575359314441
731;esol;MLP;LipinskiFilter, ZINCDruglikeFilter;1.1352;1.1337;99.86701298401826
765;esol;MLP;MolecularWeightFilter, ZINCDruglikeFilter;1.1352;1.1337;99.86701298401826
1009;esol;SGD;FAF4LeadlikeFilter, LINTFilter;1687565787909.7246;1687388093954.61;99.98947039834609
1134;esol;SGD;InpharmaticaFilter, SureChEMBLFilter;2335193530572.9463;2336928567026.47;100.07429947157733
371;esol;SVM;PAINSFilter, SureChEMBLFilter;1.2749;1.276;100.08481863966823
177;esol;SVM;GlaxoFilter, RuleOfVeberFilter;1.2025;1.21;100.62850071230449
894;esol;SGD;BeyondRo5Filter, FAF4DruglikeFilter;2684696538182.533;2702292075175.239;100.65540133651818
1317;esol;SGD;RuleOfXuFilter, SureChEMBLFilter;2134102054697.5972;2151937307667.5847;100.83572633889408
1296;esol;SGD;RuleOfThreeFilter, RuleOfXuFilter;1860367445411.6465;1879253756585.7664;101.01519252127855
1121;esol;SGD;InpharmaticaFilter, LipinskiFilter;1748432804658.235;1776255284485.9878;101.59128104629627
69;esol;SVM;BrenkFilter, MolecularWeightFilter;1.3687;1.3927;101.75507587683681
84;esol;SVM;BrenkFilter, ZINCBasicFilter;1.3638;1.3917;102.04356246075506
984;esol;SGD;FAF4DruglikeFilter, LINTFilter;1882122184915.4077;1922076439126.1345;102.12282999111042
475;esol;MLP;BeyondRo5Filter, ZINCDruglikeFilter;1.1301;1.1558;102.27560303995702
66;esol;SVM;BrenkFilter, LINTFilter;1.4304;1.465;102.42007278678007
1188;esol;SGD;MLSMRFilter, RuleOfXuFilter;1579311734663.876;1620652195680.1033;102.61762514067723
1008;esol;SGD;FAF4LeadlikeFilter, InpharmaticaFilter;1467489057206.4858;1506775361633.1426;102.67711055382193
179;esol;SVM;GlaxoFilter, SureChEMBLFilter;1.2908;1.3307;103.09059427664175
914;esol;SGD;BeyondRo5Filter, RuleOfVeberFilter;1327469502332.7986;1370386457592.1711;103.2329899243601
62;esol;SVM;BrenkFilter, GlaxoFilter;1.355;1.3994;103.27517228785908
73;esol;SVM;BrenkFilter, PAINSFilter;1.355;1.3994;103.27517228785908
974;esol;SGD;BrenkFilter, TiceInsecticidesFilter;1538217182875.6047;1592320433710.172;103.51726995621155
742;esol;MLP;MLSMRFilter, RuleOfXuFilter;1.8026;1.8691;103.68990458603773
165;esol;SVM;GlaxoFilter, LipinskiFilter;1.1748;1.2187;103.73674782747185
1065;esol;SGD;GlaxoFilter, REOSFilter;1306522467014.9663;1356568419173.4648;103.83047007778133
242;esol;SVM;InpharmaticaFilter, SureChEMBLFilter;1.3415;1.3967;104.11069514483114
1036;esol;SGD;GhoseFilter, MolecularWeightFilter;1824612409814.2112;1899719473610.82;104.11632976914021
375;esol;SVM;PAINSFilter, ZINCBasicFilter;1.274;1.3338;104.69766196426032
822;esol;MLP;PAINSFilter, ZINCDruglikeFilter;1.1375;1.1934;104.9126551103843
318;esol;SVM;MolecularWeightFilter, ZINCBasicFilter;1.2737;1.3449;105.59227492762193
80;esol;SVM;BrenkFilter, SureChEMBLFilter;1.4218;1.5017;105.6177687105657
1221;esol;SGD;NIBRFilter, RuleOfXuFilter;1762627856725.4875;1865494508420.2307;105.83598241127558
1222;esol;SGD;NIBRFilter, SureChEMBLFilter;2949970954721.448;3129487630747.727;106.08537096743143
1195;esol;SGD;MolecularWeightFilter, NIBRFilter;2784082977363.495;2957968271049.68;106.24569364850085
1022;esol;SGD;FAF4LeadlikeFilter, RuleOfXuFilter;1618617034322.293;1721678477125.7996;106.3672530696341
1105;esol;SGD;HaoFilter, NIHFilter;3476491722431.908;3699619486604.099;106.41818770148276
718;esol;MLP;LipinskiFilter, PAINSFilter;1.2062;1.2882;106.80432737200762
1260;esol;SGD;PAINSFilter, RuleOfTwoFilter;3543910894130.9185;3788752020276.528;106.90878335996234
1275;esol;SGD;PfizerFilter, TiceHerbicidesFilter;1573911755712.5017;1683032649608.8315;106.93310114117112
747;esol;MLP;MLSMRFilter, ZINCBasicFilter;1.3062;1.3969;106.94017299703471
1170;esol;SGD;LipinskiFilter, RuleOfVeberFilter;1741440595833.0269;1863597476565.5344;107.01470271365032
741;esol;MLP;MLSMRFilter, RuleOfVeberFilter;1.3195;1.4121;107.0154511351771
1301;esol;SGD;RuleOfThreeFilter, ZINCBasicFilter;3731999046726.505;3998774091304.1543;107.14831491748771
760;esol;MLP;MolecularWeightFilter, SureChEMBLFilter;1.2298;1.318;107.17455734701727
511;esol;MLP;BrenkFilter, InpharmaticaFilter;1.3518;1.452;107.41271184052184
1238;esol;SGD;NIHFilter, TiceHerbicidesFilter;1513456606470.998;1626216307907.2903;107.45047469178648
1177;esol;SGD;LipinskiFilter, ZINCDruglikeFilter;2707569966073.751;2909827720554.7515;107.47008413504801
163;esol;SVM;GlaxoFilter, InpharmaticaFilter;1.2976;1.3951;107.51769518890254
1321;esol;SGD;RuleOfXuFilter, ZINCBasicFilter;1445020418054.982;1554386112733.5518;107.56845324205023
1285;esol;SGD;REOSFilter, TiceInsecticidesFilter;2109645042362.816;2272065629349.969;107.69895331800659
1031;esol;SGD;GhoseFilter, HaoFilter;2189374585096.559;2359079746695.604;107.75130773665944
457;esol;MLP;BeyondRo5Filter, MLSMRFilter;1.3089;1.4125;107.90955395696594
736;esol;MLP;MLSMRFilter, PAINSFilter;1.3081;1.4124;107.97210538142107
612;esol;MLP;GlaxoFilter, MLSMRFilter;1.3081;1.4124;107.97210538142107
732;esol;MLP;MLSMRFilter, MolecularWeightFilter;1.3081;1.4124;107.97210538142107
1299;esol;SGD;RuleOfThreeFilter, TiceInsecticidesFilter;3790229952164.733;4099201852131.762;108.15179827784762
434;esol;SVM;SureChEMBLFilter, ZINCBasicFilter;1.2609;1.3637;108.15594605070578
71;esol;SVM;BrenkFilter, NIHFilter;1.3001;1.4063;108.17162033972446
30;esol;SVM;BMSFilter, BrenkFilter;1.3001;1.4063;108.17162033972446
512;esol;MLP;BrenkFilter, LINTFilter;1.3651;1.4769;108.1899087193983
673;esol;MLP;HaoFilter, ZINCDruglikeFilter;1.1495;1.2462;108.41341420677371
733;esol;MLP;MLSMRFilter, NIBRFilter;1.296;1.4059;108.4752171307348
1239;esol;SGD;NIHFilter, TiceInsecticidesFilter;2285187297682.384;2481748884773.682;108.60155258567423
610;esol;MLP;GlaxoFilter, LINTFilter;1.3161;1.4298;108.63772188591558
688;esol;MLP;InpharmaticaFilter, SureChEMBLFilter;1.3453;1.4629;108.7351799037672
817;esol;MLP;PAINSFilter, SureChEMBLFilter;1.2531;1.3642;108.86466381170523
5;esol;SVM;BeyondRo5Filter, GlaxoFilter;1.2171;1.3258;108.92763676464712
458;esol;MLP;BeyondRo5Filter, MolecularWeightFilter;1.2164;1.3251;108.9292557767626
625;esol;MLP;GlaxoFilter, SureChEMBLFilter;1.2573;1.3702;108.98083023558304
965;esol;SGD;BrenkFilter, PAINSFilter;1676520385908.9312;1830076439635.9417;109.15921184243516
228;esol;SVM;InpharmaticaFilter, LINTFilter;1.3541;1.4784;109.18132001761862
921;esol;SGD;BeyondRo5Filter, ZINCDruglikeFilter;1527863296632.7158;1676278795594.7285;109.71392527650269
608;esol;MLP;GlaxoFilter, HaoFilter;1.091;1.1991;109.91506935708284
246;esol;SVM;InpharmaticaFilter, ZINCBasicFilter;1.3136;1.4459;110.07476000237193
995;esol;SGD;FAF4DruglikeFilter, RuleOfTwoFilter;1721732458339.8318;1895925453474.3403;110.11730912609228
1214;esol;SGD;NIBRFilter, PAINSFilter;1917015810378.755;2112352313301.5696;110.1896135579717
713;esol;MLP;LipinskiFilter, MLSMRFilter;1.312;1.446;110.2133382408099
1274;esol;SGD;PfizerFilter, SureChEMBLFilter;1286523390659.3052;1421721677743.6104;110.50880909479773
905;esol;SGD;BeyondRo5Filter, NIBRFilter;2191024714973.8572;2425559946513.9653;110.70436266360906
476;esol;MLP;BMSFilter, BrenkFilter;1.3224;1.4659;110.85401974554117
517;esol;MLP;BrenkFilter, NIHFilter;1.3224;1.4659;110.85401974554117
1;esol;SVM;BeyondRo5Filter, BrenkFilter;1.2816;1.4212;110.89463986619594
726;esol;MLP;LipinskiFilter, SureChEMBLFilter;1.2356;1.3709;110.95544834278887
24;esol;SVM;BeyondRo5Filter, SureChEMBLFilter;1.2051;1.3385;111.07709648259821
1154;esol;SGD;LINTFilter, TiceHerbicidesFilter;1889829491697.1587;2099987933057.2273;111.12049749902759
231;esol;SVM;InpharmaticaFilter, MolecularWeightFilter;1.2923;1.4361;111.12943999041663
1205;esol;SGD;MolecularWeightFilter, RuleOfXuFilter;1570657265166.4397;1749159573155.107;111.36481598802217
1147;esol;SGD;LINTFilter, PfizerFilter;2506189494982.7314;2792191718039.6675;111.41183552279261
513;esol;MLP;BrenkFilter, LipinskiFilter;1.3207;1.4734;111.5681788825028
470;esol;MLP;BeyondRo5Filter, SureChEMBLFilter;1.2684;1.4155;111.59346792136691
933;esol;SGD;BMSFilter, MolecularWeightFilter;1827929282740.418;2040639104921.1155;111.6366548853468
235;esol;SVM;InpharmaticaFilter, PAINSFilter;1.2841;1.4354;111.7787565929335
698;esol;MLP;LINTFilter, NIHFilter;1.28;1.4314;111.83291233256631
484;esol;MLP;BMSFilter, LINTFilter;1.28;1.4314;111.83291233256631
1037;esol;SGD;GhoseFilter, NIBRFilter;1737339118582.0403;1944248126647.7285;111.90953486585629
1403;esol;Gradient Boosting Regressor;BrenkFilter, InpharmaticaFilter;1.4219;1.5926;112.0018948291821
78;esol;SVM;BrenkFilter, RuleOfVeberFilter;1.28;1.4341;112.0379107880415
1644;esol;Gradient Boosting Regressor;MolecularWeightFilter, PAINSFilter;1.1436;1.2829;112.18236973308322
1035;esol;SGD;GhoseFilter, MLSMRFilter;2183282436300.6409;2451576463088.694;112.28856250236919
1010;esol;SGD;FAF4LeadlikeFilter, LipinskiFilter;2305110928917.331;2591387799321.4795;112.41922316244484
1062;esol;SGD;GlaxoFilter, OpreaFilter;1701324406207.5688;1912634236443.005;112.42031381342892
1409;esol;Gradient Boosting Regressor;BrenkFilter, NIHFilter;1.445;1.6256;112.5040278334819
696;esol;MLP;LINTFilter, MolecularWeightFilter;1.2484;1.4065;112.66311578772736
700;esol;MLP;LINTFilter, PAINSFilter;1.2484;1.4065;112.66311578772736
711;esol;MLP;LINTFilter, ZINCBasicFilter;1.2704;1.4342;112.89217368589135
954;esol;SGD;BrenkFilter, GlaxoFilter;2253877606881.595;2544766507081.7656;112.90615334710373
455;esol;MLP;BeyondRo5Filter, LINTFilter;1.2475;1.4092;112.96121657898439
694;esol;MLP;LINTFilter, LipinskiFilter;1.2662;1.4308;113.00079396905089
1004;esol;SGD;FAF4LeadlikeFilter, GhoseFilter;1599669589084.7305;1808114490007.8604;113.03049719426086
672;esol;MLP;HaoFilter, ZINCBasicFilter;1.0782;1.2214;113.28002292044556
949;esol;SGD;BMSFilter, ZINCBasicFilter;1628939271164.8022;1846852133226.344;113.37759276352391
1411;esol;Gradient Boosting Regressor;BrenkFilter, PAINSFilter;1.4886;1.6885;113.42997129534145
1606;esol;Gradient Boosting Regressor;LipinskiFilter, MolecularWeightFilter;1.1239;1.2754;113.48171287491292
705;esol;MLP;LINTFilter, RuleOfVeberFilter;1.2592;1.4306;113.60569914068294
674;esol;MLP;InpharmaticaFilter, LINTFilter;1.266;1.4441;114.06639495903512
1080;esol;SGD;GSKFilter, LipinskiFilter;1993241247051.604;2273831724690.699;114.07709568794763
419;esol;SVM;RuleOfVeberFilter, SureChEMBLFilter;1.2069;1.3772;114.1075484455709
508;esol;MLP;BrenkFilter, GlaxoFilter;1.2654;1.4459;114.26474020930597
519;esol;MLP;BrenkFilter, PAINSFilter;1.2654;1.4459;114.26474020930597
515;esol;MLP;BrenkFilter, MolecularWeightFilter;1.2505;1.4294;114.30746360168405
447;esol;MLP;BeyondRo5Filter, BrenkFilter;1.2434;1.4228;114.42192478462785
280;esol;SVM;LipinskiFilter, SureChEMBLFilter;1.15;1.3167;114.49409621926425
169;esol;SVM;GlaxoFilter, NIHFilter;1.188;1.3618;114.6258356448539
34;esol;SVM;BMSFilter, GlaxoFilter;1.188;1.3618;114.6258356448539
880;esol;MLP;SureChEMBLFilter, ZINCBasicFilter;1.1786;1.3522;114.72957420973412
707;esol;MLP;LINTFilter, SureChEMBLFilter;1.2599;1.4459;114.7634435491707
1339;esol;Gradient Boosting Regressor;BeyondRo5Filter, BrenkFilter;1.4057;1.6132;114.7653290755182
526;esol;MLP;BrenkFilter, SureChEMBLFilter;1.3169;1.5117;114.79629660555963
524;esol;MLP;BrenkFilter, RuleOfVeberFilter;1.2826;1.4747;114.9774542520087
1407;esol;Gradient Boosting Regressor;BrenkFilter, MolecularWeightFilter;1.4201;1.6353;115.15910933022741
743;esol;MLP;MLSMRFilter, SureChEMBLFilter;1.2776;1.473;115.2916643721468
67;esol;SVM;BrenkFilter, LipinskiFilter;1.2426;1.4328;115.30087677747782
530;esol;MLP;BrenkFilter, ZINCBasicFilter;1.2486;1.4428;115.5534654077889
748;esol;MLP;MLSMRFilter, ZINCDruglikeFilter;1.2076;1.3966;115.64838598765499
1422;esol;Gradient Boosting Regressor;BrenkFilter, ZINCBasicFilter;1.417;1.6413;115.82443096101962
656;esol;MLP;HaoFilter, MLSMRFilter;1.2421;1.4397;115.91456521348276
1400;esol;Gradient Boosting Regressor;BrenkFilter, GlaxoFilter;1.4623;1.6958;115.9684497531579
695;esol;MLP;LINTFilter, MLSMRFilter;1.3069;1.5156;115.97088624367149
676;esol;MLP;InpharmaticaFilter, MLSMRFilter;1.3549;1.5721;116.02510801620016
1714;esol;Gradient Boosting Regressor;PAINSFilter, ZINCDruglikeFilter;1.0884;1.2638;116.11462603772304
1142;esol;SGD;LINTFilter, MolecularWeightFilter;2942910931415.868;3418441949340.976;116.15852565732678
1404;esol;Gradient Boosting Regressor;BrenkFilter, LINTFilter;1.4374;1.6718;116.30726292747626
1605;esol;Gradient Boosting Regressor;LipinskiFilter, MLSMRFilter;1.1663;1.3579;116.42390883537192
1368;esol;Gradient Boosting Regressor;BMSFilter, BrenkFilter;1.4227;1.6567;116.44708252905028
983;esol;SGD;FAF4DruglikeFilter, InpharmaticaFilter;2331696591911.6;2719866929389.9067;116.64754920622293
585;esol;MLP;GhoseFilter, HaoFilter;1.016;1.1867;116.80295967940859
1101;esol;SGD;HaoFilter, LipinskiFilter;2742017949178.211;3206202039407.822;116.92855768390311
1163;esol;SGD;LipinskiFilter, OpreaFilter;1220115202292.123;1427277946959.5515;116.97894955150548
1657;esol;Gradient Boosting Regressor;MolecularWeightFilter, ZINCDruglikeFilter;1.0888;1.2744;117.03947319980924
1191;esol;SGD;MLSMRFilter, TiceInsecticidesFilter;1484361538870.47;1737439267036.5017;117.0496015653041
504;esol;MLP;BMSFilter, ZINCDruglikeFilter;1.1703;1.3719;117.22731134257609
796;esol;MLP;NIHFilter, ZINCDruglikeFilter;1.1703;1.3719;117.22731134257609
184;esol;SVM;GlaxoFilter, ZINCDruglikeFilter;1.1138;1.306;117.25342978830193
1618;esol;Gradient Boosting Regressor;LipinskiFilter, SureChEMBLFilter;1.2461;1.4619;117.31216601978258
1623;esol;Gradient Boosting Regressor;LipinskiFilter, ZINCDruglikeFilter;1.0829;1.2711;117.37776855727375
514;esol;MLP;BrenkFilter, MLSMRFilter;1.3409;1.5748;117.4446256603347
233;esol;SVM;InpharmaticaFilter, NIHFilter;1.2502;1.4685;117.46481460897411
37;esol;SVM;BMSFilter, InpharmaticaFilter;1.2502;1.4685;117.46481460897411
57;esol;SVM;BMSFilter, ZINCBasicFilter;1.179;1.3868;117.62656943905054
349;esol;SVM;NIHFilter, ZINCBasicFilter;1.179;1.3868;117.62656943905054
865;esol;MLP;RuleOfVeberFilter, SureChEMBLFilter;1.1803;1.3886;117.65069549990397
712;esol;MLP;LINTFilter, ZINCDruglikeFilter;1.2754;1.5006;117.6553394555834
1367;esol;Gradient Boosting Regressor;BeyondRo5Filter, ZINCDruglikeFilter;1.1181;1.319;117.97151260302729
1162;esol;SGD;LipinskiFilter, NIHFilter;1650479026355.6538;1947358891171.4536;117.98749696755169
267;esol;SVM;LipinskiFilter, MLSMRFilter;1.1968;1.4135;118.10661016025755
70;esol;SVM;BrenkFilter, NIBRFilter;1.2682;1.4989;118.18489038477512
337;esol;SVM;NIHFilter, PAINSFilter;1.19;1.4072;118.25494373598357
45;esol;SVM;BMSFilter, PAINSFilter;1.19;1.4072;118.25494373598357
166;esol;SVM;GlaxoFilter, MLSMRFilter;1.197;1.419;118.5485244262471
290;esol;SVM;MLSMRFilter, PAINSFilter;1.197;1.419;118.5485244262471
286;esol;SVM;MLSMRFilter, MolecularWeightFilter;1.197;1.419;118.5485244262471
999;esol;SGD;FAF4DruglikeFilter, TiceHerbicidesFilter;1856918082498.1104;2203098843810.247;118.64275891192895
614;esol;MLP;GlaxoFilter, NIBRFilter;1.2417;1.4744;118.73590940982375
345;esol;SVM;NIHFilter, SureChEMBLFilter;1.2103;1.4384;118.84838760025298
53;esol;SVM;BMSFilter, SureChEMBLFilter;1.2103;1.4384;118.84838760025298
881;esol;MLP;SureChEMBLFilter, ZINCDruglikeFilter;1.1785;1.4035;119.09098770171609
304;esol;SVM;MolecularWeightFilter, NIHFilter;1.1857;1.4136;119.22055827720581
43;esol;SVM;BMSFilter, NIHFilter;1.1857;1.4136;119.22055827720581
41;esol;SVM;BMSFilter, MolecularWeightFilter;1.1857;1.4136;119.22055827720581
1252;esol;SGD;OpreaFilter, TiceInsecticidesFilter;1325207704680.6694;1582054646526.828;119.38163662488289
1088;esol;SGD;GSKFilter, REOSFilter;1284163878120.1768;1533379660272.227;119.40685191339169
1103;esol;SGD;HaoFilter, MolecularWeightFilter;3301731247238.903;3943381204001.76;119.43374274630744
230;esol;SVM;InpharmaticaFilter, MLSMRFilter;1.2494;1.4925;119.45666572439467
900;esol;SGD;BeyondRo5Filter, InpharmaticaFilter;3411796114064.276;4077490186203.18;119.51154318380127
1610;esol;Gradient Boosting Regressor;LipinskiFilter, PAINSFilter;1.0948;1.3099;119.65632484159794
295;esol;SVM;MLSMRFilter, RuleOfVeberFilter;1.198;1.4345;119.74389494918705
594;esol;MLP;GhoseFilter, PAINSFilter;0.9901;1.1858;119.76904853113757
11;esol;SVM;BeyondRo5Filter, MLSMRFilter;1.1898;1.4264;119.88781635124066
531;esol;MLP;BrenkFilter, ZINCDruglikeFilter;1.2918;1.5521;120.1474868938641
1639;esol;Gradient Boosting Regressor;MLSMRFilter, ZINCBasicFilter;1.1968;1.4382;120.17455068380613
297;esol;SVM;MLSMRFilter, SureChEMBLFilter;1.2264;1.476;120.35103789363961
1566;esol;Gradient Boosting Regressor;InpharmaticaFilter, LINTFilter;1.395;1.6816;120.54799743744941
301;esol;SVM;MLSMRFilter, ZINCBasicFilter;1.2024;1.4497;120.56437985280188
68;esol;SVM;BrenkFilter, MLSMRFilter;1.3002;1.5705;120.79042518345385
734;esol;MLP;MLSMRFilter, NIHFilter;1.2652;1.5307;120.9792653512739
486;esol;MLP;BMSFilter, MLSMRFilter;1.2652;1.5307;120.9792653512739
1416;esol;Gradient Boosting Regressor;BrenkFilter, RuleOfVeberFilter;1.4125;1.7097;121.04738630628833
1633;esol;Gradient Boosting Regressor;MLSMRFilter, RuleOfVeberFilter;1.2107;1.4681;121.25621524090975
164;esol;SVM;GlaxoFilter, LINTFilter;1.2088;1.4661;121.28928377864632
51;esol;SVM;BMSFilter, RuleOfVeberFilter;1.1797;1.4334;121.51045501764324
343;esol;SVM;NIHFilter, RuleOfVeberFilter;1.1797;1.4334;121.51045501764324
1418;esol;Gradient Boosting Regressor;BrenkFilter, SureChEMBLFilter;1.3124;1.5962;121.62651551207888
776;esol;MLP;NIBRFilter, SureChEMBLFilter;1.2546;1.5262;121.64851429891293
615;esol;MLP;GlaxoFilter, NIHFilter;1.1895;1.4482;121.74929595695166
480;esol;MLP;BMSFilter, GlaxoFilter;1.1895;1.4482;121.74929595695166
261;esol;SVM;LINTFilter, SureChEMBLFilter;1.2415;1.5117;121.76096797406379
1772;esol;Gradient Boosting Regressor;SureChEMBLFilter, ZINCBasicFilter;1.2891;1.5721;121.95388676749992
1709;esol;Gradient Boosting Regressor;PAINSFilter, SureChEMBLFilter;1.2085;1.4743;121.99833427129883
1114;esol;SGD;HaoFilter, SureChEMBLFilter;1937467953835.587;2365116455410.9966;122.07254580540534
1349;esol;Gradient Boosting Regressor;BeyondRo5Filter, MLSMRFilter;1.1345;1.385;122.07378497161632
1408;esol;Gradient Boosting Regressor;BrenkFilter, NIBRFilter;1.3277;1.6219;122.15339896844148
241;esol;SVM;InpharmaticaFilter, RuleOfXuFilter;1.4219;1.7391;122.30389134859065
898;esol;SGD;BeyondRo5Filter, GSKFilter;3357349674033.804;4106447958088.1846;122.3121913647544
445;esol;SVM;ZINCBasicFilter, ZINCDruglikeFilter;1.1191;1.3688;122.31506288300002
265;esol;SVM;LINTFilter, ZINCBasicFilter;1.215;1.4864;122.34413595743551
1652;esol;Gradient Boosting Regressor;MolecularWeightFilter, SureChEMBLFilter;1.197;1.4657;122.44911098816328
462;esol;MLP;BeyondRo5Filter, PAINSFilter;1.2049;1.4756;122.46932708103651
1153;esol;SGD;LINTFilter, SureChEMBLFilter;2598987136451.344;3191913972155.874;122.81376569312737
330;esol;SVM;NIBRFilter, SureChEMBLFilter;1.1269;1.3848;122.89384502164098
791;esol;MLP;NIHFilter, SureChEMBLFilter;1.2286;1.51;122.89741664813154
499;esol;MLP;BMSFilter, SureChEMBLFilter;1.2286;1.51;122.89741664813154
254;esol;SVM;LINTFilter, PAINSFilter;1.2037;1.4804;122.98895137679011
250;esol;SVM;LINTFilter, MolecularWeightFilter;1.2037;1.4804;122.98895137679011
1635;esol;Gradient Boosting Regressor;MLSMRFilter, SureChEMBLFilter;1.2093;1.4877;123.02848987102686
510;esol;MLP;BrenkFilter, HaoFilter;1.3114;1.6151;123.15655278651568
