;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
950;esol;SGD;BMSFilter, ZINCDruglikeFilter;2499918663765.603;1141728782346.5625;45.6706371649223
908;esol;SGD;BeyondRo5Filter, PAINSFilter;1807512847481.1;829063229991.6769;45.86762584548356
1084;esol;SGD;GSKFilter, NIHFilter;4053232861116.065;1864218521589.6428;45.99337332610905
922;esol;SGD;BMSFilter, BrenkFilter;4056744495688.372;1911618250497.9272;47.12197804248336
1287;esol;SGD;REOSFilter, ZINCBasicFilter;2276629878457.903;1081094789548.8932;47.48662923993527
1283;esol;SGD;REOSFilter, SureChEMBLFilter;2286102694609.9165;1088434080740.2314;47.61090056481272
1268;esol;SGD;PAINSFilter, ZINCDruglikeFilter;4330854408006.104;2065098951151.8865;47.6834073972633
944;esol;SGD;BMSFilter, RuleOfXuFilter;2518375119368.795;1214641452744.7317;48.2311568043592
1279;esol;SGD;PfizerFilter, ZINCDruglikeFilter;3196190801311.459;1568950903806.2236;49.08814902922731
1021;esol;SGD;FAF4LeadlikeFilter, RuleOfVeberFilter;2498820539233.658;1227514602519.9236;49.12375991980518
962;esol;SGD;BrenkFilter, NIBRFilter;3311027845139.0728;1638082951288.912;49.47354803112832
1266;esol;SGD;PAINSFilter, ValenceDiscoveryFilter;2363297034886.7324;1177482632028.1396;49.82372569534298
1064;esol;SGD;GlaxoFilter, PfizerFilter;2292421518126.9253;1149670515169.1218;50.15092146353983
1047;esol;SGD;GhoseFilter, SureChEMBLFilter;2106282113745.264;1065854802145.2502;50.60361075041422
1159;esol;SGD;LipinskiFilter, MLSMRFilter;4439151845018.663;2248282991700.5293;50.64667914487789
943;esol;SGD;BMSFilter, RuleOfVeberFilter;2963312059108.845;1521394572457.5596;51.34101782432888
1078;esol;SGD;GSKFilter, InpharmaticaFilter;2421295348389.704;1254904405130.796;51.82781216530966
1229;esol;SGD;NIHFilter, PAINSFilter;2798861487924.974;1460278745964.4463;52.17402691288846
1072;esol;SGD;GlaxoFilter, TiceHerbicidesFilter;2987927886095.511;1561598899988.9536;52.263607406856806
1264;esol;SGD;PAINSFilter, TiceHerbicidesFilter;1925525890989.0547;1008682483434.1556;52.38477904423511
1038;esol;SGD;GhoseFilter, NIHFilter;2364635230184.74;1238772524033.1165;52.38746797899716
1014;esol;SGD;FAF4LeadlikeFilter, NIHFilter;2228994981855.0054;1174630879714.5208;52.69778035735971
903;esol;SGD;BeyondRo5Filter, MLSMRFilter;4269672661631.128;2316780920129.013;54.261324081081696
1135;esol;SGD;InpharmaticaFilter, TiceHerbicidesFilter;2433640487882.453;1324098734410.1868;54.408148656431365
932;esol;SGD;BMSFilter, MLSMRFilter;3655556590685.3887;1999217726928.368;54.68983114698629
1223;esol;SGD;NIBRFilter, TiceHerbicidesFilter;2178489184739.42;1199298279639.9978;55.051835374773816
1157;esol;SGD;LINTFilter, ZINCBasicFilter;3595273513845.156;1979934525242.6528;55.070484001232686
1028;esol;SGD;FAF4LeadlikeFilter, ZINCDruglikeFilter;1942266661172.2148;1078302811898.9252;55.51775322386155
917;esol;SGD;BeyondRo5Filter, TiceHerbicidesFilter;2372456975472.211;1318731013506.663;55.58503387586974
1175;esol;SGD;LipinskiFilter, ValenceDiscoveryFilter;2119465639093.4976;1178900352516.388;55.62252724326342
1178;esol;SGD;MLSMRFilter, MolecularWeightFilter;3982689459922.906;2233961883081.9946;56.091791879883054
1003;esol;SGD;FAF4DruglikeFilter, ZINCDruglikeFilter;2787202283626.3896;1564195813992.6875;56.12064194915678
1126;esol;SGD;InpharmaticaFilter, OpreaFilter;2381084434514.5894;1337918835073.6794;56.189474664573545
1085;esol;SGD;GSKFilter, OpreaFilter;1804666311160.3003;1015755503485.7108;56.28494848073251
1184;esol;SGD;MLSMRFilter, REOSFilter;1851436448573.7793;1046011907789.1188;56.4973163726411
1075;esol;SGD;GlaxoFilter, ZINCBasicFilter;2120328313059.3027;1200073959438.7231;56.59849713119208
997;esol;SGD;FAF4DruglikeFilter, RuleOfXuFilter;2124426589661.202;1210484876733.0918;56.97936952136043
1116;esol;SGD;HaoFilter, TiceInsecticidesFilter;2233035219409.217;1275454720202.3826;57.117537113446126
972;esol;SGD;BrenkFilter, SureChEMBLFilter;3132546762710.376;1793742918082.7795;57.261488940416584
1145;esol;SGD;LINTFilter, OpreaFilter;2319456077493.6084;1331400241113.286;57.40139914837231
1006;esol;SGD;FAF4LeadlikeFilter, GSKFilter;1929084087576.9775;1109967997698.6653;57.5386010825914
1102;esol;SGD;HaoFilter, MLSMRFilter;3233308221730.377;1871218146678.2493;57.8731756565053
1030;esol;SGD;GhoseFilter, GSKFilter;2321053638608.858;1343640795758.3882;57.88926086877122
1123;esol;SGD;InpharmaticaFilter, MolecularWeightFilter;2161770193882.1985;1252761636956.6208;57.95073132666606
1023;esol;SGD;FAF4LeadlikeFilter, SureChEMBLFilter;2355513875983.4663;1366942783416.3647;58.031616682607876
1192;esol;SGD;MLSMRFilter, ValenceDiscoveryFilter;2018259119467.5576;1172587302973.6755;58.098947338487385
981;esol;SGD;FAF4DruglikeFilter, GSKFilter;3094273532405.3306;1801507320024.5305;58.22068738131663
1141;esol;SGD;LINTFilter, MLSMRFilter;2903832778022.781;1694220129078.9192;58.34427319304913
1233;esol;SGD;NIHFilter, RuleOfThreeFilter;7658772492258.741;4477459946591.12;58.46184817628156
1204;esol;SGD;MolecularWeightFilter, RuleOfVeberFilter;1671739168003.5732;978442634125.7888;58.528426733834685
1000;esol;SGD;FAF4DruglikeFilter, TiceInsecticidesFilter;2085406726685.2507;1224084600583.4285;58.69764324243397
1215;esol;SGD;NIBRFilter, PfizerFilter;2208568595780.099;1298573613407.0427;58.79706955392832
975;esol;SGD;BrenkFilter, ValenceDiscoveryFilter;1912390596347.2249;1131180530064.431;59.15007803453176
1076;esol;SGD;GlaxoFilter, ZINCDruglikeFilter;2283085436712.7026;1350540508429.3696;59.154181736358645
1138;esol;SGD;InpharmaticaFilter, ZINCBasicFilter;2328662322096.082;1381488322429.619;59.32540365861675
1151;esol;SGD;LINTFilter, RuleOfVeberFilter;4045874519537.36;2400427758605.816;59.33025720432629
1193;esol;SGD;MLSMRFilter, ZINCBasicFilter;3423596554653.3003;2044610970564.998;59.72114231117548
966;esol;SGD;BrenkFilter, PfizerFilter;3740857187819.683;2234159390037.4834;59.72319385278747
1059;esol;SGD;GlaxoFilter, MolecularWeightFilter;2770087935055.5103;1654953095877.684;59.74370253500708
1332;esol;SGD;TiceInsecticidesFilter, ValenceDiscoveryFilter;2090293335686.546;1250612559465.9666;59.829524311965024
1100;esol;SGD;HaoFilter, LINTFilter;3828518378867.406;2291358772352.948;59.84975245256111
1054;esol;SGD;GlaxoFilter, HaoFilter;3047865596000.8887;1825331876999.2769;59.88885728407115
1166;esol;SGD;LipinskiFilter, REOSFilter;2055875793043.812;1232427229691.129;59.94658013198685
1052;esol;SGD;GhoseFilter, ZINCDruglikeFilter;2303616468274.393;1388196706068.7798;60.261624501610655
1034;esol;SGD;GhoseFilter, LipinskiFilter;2025863607791.8853;1221280305845.944;60.28442888004161
996;esol;SGD;FAF4DruglikeFilter, RuleOfVeberFilter;2837820220498.9653;1715608559382.1533;60.455153113275905
904;esol;SGD;BeyondRo5Filter, MolecularWeightFilter;3142963035442.8843;1915314078211.8467;60.93975833037292
1129;esol;SGD;InpharmaticaFilter, REOSFilter;1790004312550.6958;1094465653101.5748;61.14318526652029
991;esol;SGD;FAF4DruglikeFilter, PAINSFilter;2419248085908.5728;1482744086867.7085;61.28945995676376
896;esol;SGD;BeyondRo5Filter, GhoseFilter;2051272718737.7876;1257895892815.1462;61.32270376945144
1136;esol;SGD;InpharmaticaFilter, TiceInsecticidesFilter;2171539065854.968;1332317779750.1323;61.353617841803754
978;esol;SGD;FAF4DruglikeFilter, FAF4LeadlikeFilter;2216269267869.709;1367018577917.0735;61.681069071135916
1073;esol;SGD;GlaxoFilter, TiceInsecticidesFilter;2028592976860.704;1251269681763.1738;61.68165304897898
1115;esol;SGD;HaoFilter, TiceHerbicidesFilter;2502307354618.969;1548713411551.104;61.89141428579341
1249;esol;SGD;OpreaFilter, RuleOfXuFilter;2112664254478.8628;1308680615983.1123;61.94456185873833
1295;esol;SGD;RuleOfThreeFilter, RuleOfVeberFilter;5587282547779.957;3467817696592.012;62.06626686473749
1029;esol;SGD;GhoseFilter, GlaxoFilter;2289748098048.546;1426716903067.187;62.30890220121229
1250;esol;SGD;OpreaFilter, SureChEMBLFilter;1781481092961.6062;1117109094199.417;62.70676116704049
1039;esol;SGD;GhoseFilter, OpreaFilter;1935360158474.5369;1216762642956.464;62.87008842403391
1265;esol;SGD;PAINSFilter, TiceInsecticidesFilter;2094149440247.4285;1317928754358.4937;62.93384459720207
1158;esol;SGD;LINTFilter, ZINCDruglikeFilter;3376731268826.47;2141967313306.9863;63.43315895704645
1224;esol;SGD;NIBRFilter, TiceInsecticidesFilter;3429008326495.145;2185552182182.4097;63.7371500470022
1133;esol;SGD;InpharmaticaFilter, RuleOfXuFilter;1970074313593.0903;1264252966370.2056;64.17285671140074
918;esol;SGD;BeyondRo5Filter, TiceInsecticidesFilter;1797286510011.5051;1159065233012.3782;64.48973085570861
1326;esol;SGD;SureChEMBLFilter, ZINCBasicFilter;2047082322819.7683;1321919065867.0386;64.57576479123476
964;esol;SGD;BrenkFilter, OpreaFilter;1866742743127.359;1208884859801.1167;64.75904964686612
1048;esol;SGD;GhoseFilter, TiceHerbicidesFilter;2828333927312.8223;1831684791387.3264;64.76197077364183
963;esol;SGD;BrenkFilter, NIHFilter;3115460907050.7915;2026573652862.0415;65.04891935172667
1176;esol;SGD;LipinskiFilter, ZINCBasicFilter;3211335984698.2646;2103728174810.4705;65.5094385898751
923;esol;SGD;BMSFilter, FAF4DruglikeFilter;2625795150507.3843;1723786176930.3235;65.64815905754244
946;esol;SGD;BMSFilter, TiceHerbicidesFilter;2109940042889.556;1386294678700.8506;65.70303660393708
1230;esol;SGD;NIHFilter, PfizerFilter;1636527530989.1292;1076810863035.176;65.79851806002577
1137;esol;SGD;InpharmaticaFilter, ValenceDiscoveryFilter;2081154112260.8176;1370641420529.0774;65.8596791296782
919;esol;SGD;BeyondRo5Filter, ValenceDiscoveryFilter;2187374155395.9272;1442182061339.8015;65.93211581028113
1152;esol;SGD;LINTFilter, RuleOfXuFilter;2226547254294.281;1478831651637.661;66.41815702700578
1117;esol;SGD;HaoFilter, ValenceDiscoveryFilter;1548726089227.94;1030059182148.4688;66.510094284133
924;esol;SGD;BMSFilter, FAF4LeadlikeFilter;1975433372813.56;1315456839281.847;66.59079761360287
925;esol;SGD;BMSFilter, GhoseFilter;1911724934962.1648;1274262997488.977;66.6551434353811
1329;esol;SGD;TiceHerbicidesFilter, ValenceDiscoveryFilter;1639041070215.057;1092695389837.4242;66.66674860649177
1086;esol;SGD;GSKFilter, PAINSFilter;2767082911350.1387;1856100768978.0464;67.0778877410797
1002;esol;SGD;FAF4DruglikeFilter, ZINCBasicFilter;2555344294274.9536;1717291726712.2395;67.20392749265513
945;esol;SGD;BMSFilter, SureChEMBLFilter;3158822920173.7134;2129098955345.648;67.40165590632608
961;esol;SGD;BrenkFilter, MolecularWeightFilter;1737044871625.236;1171952081352.3752;67.46815240621035
1336;esol;SGD;ValenceDiscoveryFilter, ZINCDruglikeFilter;1664450905246.0442;1126055242091.2488;67.65325661106189
1242;esol;SGD;NIHFilter, ZINCDruglikeFilter;2313975899042.91;1566982998030.3997;67.71820737971056
955;esol;SGD;BrenkFilter, GSKFilter;3329537039001.925;2255978670685.156;67.75652723663399
1174;esol;SGD;LipinskiFilter, TiceInsecticidesFilter;2233319522186.988;1513415744247.5525;67.76530313788389
1208;esol;SGD;MolecularWeightFilter, TiceInsecticidesFilter;2082431293176.9087;1416413480513.2488;68.01729714464679
979;esol;SGD;FAF4DruglikeFilter, GhoseFilter;1735994760315.17;1180895619210.4292;68.02414651274856
977;esol;SGD;BrenkFilter, ZINCDruglikeFilter;2555203654018.603;1738268960344.5;68.0285877648422
1026;esol;SGD;FAF4LeadlikeFilter, ValenceDiscoveryFilter;1883249924464.9968;1284030935071.1228;68.18165334247375
1081;esol;SGD;GSKFilter, MLSMRFilter;3875156702344.2856;2647309147596.9536;68.31489281441077
1087;esol;SGD;GSKFilter, PfizerFilter;1668801810653.6562;1143725581344.5366;68.53573468359005
1015;esol;SGD;FAF4LeadlikeFilter, OpreaFilter;1794146274281.7124;1230588874902.2383;68.58910516618303
1328;esol;SGD;TiceHerbicidesFilter, TiceInsecticidesFilter;1920712044086.0215;1318659697924.0305;68.65473156084259
1005;esol;SGD;FAF4LeadlikeFilter, GlaxoFilter;1799959831861.3745;1236098297643.08;68.67366014300475
1263;esol;SGD;PAINSFilter, SureChEMBLFilter;3180796110509.382;2184673047253.59;68.68321550178614
1049;esol;SGD;GhoseFilter, TiceInsecticidesFilter;2262939627122.2383;1557811621583.5386;68.84017597785385
1079;esol;SGD;GSKFilter, LINTFilter;3589180716892.215;2475776267594.3813;68.97886907567296
989;esol;SGD;FAF4DruglikeFilter, NIHFilter;2499555203257.1475;1726231394035.721;69.06154310119994
939;esol;SGD;BMSFilter, REOSFilter;1555298398507.045;1075133147582.297;69.1271301130596
930;esol;SGD;BMSFilter, LINTFilter;3014888417316.7065;2097676498174.696;69.57725155353039
1183;esol;SGD;MLSMRFilter, PfizerFilter;3439884326861.355;2419689064747.607;70.3421637132606
1120;esol;SGD;InpharmaticaFilter, LINTFilter;3759928561783.8286;2660712539970.7764;70.76497588317078
1257;esol;SGD;PAINSFilter, REOSFilter;1725597326472.3435;1222003857621.758;70.81628134646645
1261;esol;SGD;PAINSFilter, RuleOfVeberFilter;1782826727277.9685;1263870717626.094;70.89139389085669
1278;esol;SGD;PfizerFilter, ZINCBasicFilter;3118410570236.1587;2216817813293.444;71.08806757044705
1106;esol;SGD;HaoFilter, OpreaFilter;2034499012183.0784;1448616991087.1348;71.20263919581487
892;esol;SGD;BeyondRo5Filter, BMSFilter;1695721115229.3682;1208212124840.1824;71.25063868045048
936;esol;SGD;BMSFilter, OpreaFilter;1735701307827.974;1237044570778.8508;71.27059046391263
1334;esol;SGD;TiceInsecticidesFilter, ZINCDruglikeFilter;1758732701509.627;1258073560185.6987;71.53296001750681
1058;esol;SGD;GlaxoFilter, MLSMRFilter;4023227374677.0015;2878564559822.021;71.54864221545823
