;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1296;RuleOfThreeFilter, RuleOfXuFilter;1860367445411.6465;1879253756585.7664;101.01519252127855
1121;InpharmaticaFilter, LipinskiFilter;1748432804658.235;1776255284485.9878;101.59128104629627
984;FAF4DruglikeFilter, LINTFilter;1882122184915.4077;1922076439126.1345;102.12282999111042
1188;MLSMRFilter, RuleOfXuFilter;1579311734663.876;1620652195680.1033;102.61762514067723
1008;FAF4LeadlikeFilter, InpharmaticaFilter;1467489057206.4858;1506775361633.1426;102.67711055382193
914;BeyondRo5Filter, RuleOfVeberFilter;1327469502332.7986;1370386457592.1711;103.2329899243601
974;BrenkFilter, TiceInsecticidesFilter;1538217182875.6047;1592320433710.172;103.51726995621155
1065;GlaxoFilter, REOSFilter;1306522467014.9663;1356568419173.4648;103.83047007778133
1036;GhoseFilter, MolecularWeightFilter;1824612409814.2112;1899719473610.82;104.11632976914021
1221;NIBRFilter, RuleOfXuFilter;1762627856725.4875;1865494508420.2307;105.83598241127558
1222;NIBRFilter, SureChEMBLFilter;2949970954721.448;3129487630747.727;106.08537096743143
1195;MolecularWeightFilter, NIBRFilter;2784082977363.495;2957968271049.68;106.24569364850085
1022;FAF4LeadlikeFilter, RuleOfXuFilter;1618617034322.293;1721678477125.7996;106.3672530696341
1105;HaoFilter, NIHFilter;3476491722431.908;3699619486604.099;106.41818770148276
1260;PAINSFilter, RuleOfTwoFilter;3543910894130.9185;3788752020276.528;106.90878335996234
1275;PfizerFilter, TiceHerbicidesFilter;1573911755712.5017;1683032649608.8315;106.93310114117112
1170;LipinskiFilter, RuleOfVeberFilter;1741440595833.0269;1863597476565.5344;107.01470271365032
1301;RuleOfThreeFilter, ZINCBasicFilter;3731999046726.505;3998774091304.1543;107.14831491748771
1238;NIHFilter, TiceHerbicidesFilter;1513456606470.998;1626216307907.2903;107.45047469178648
1177;LipinskiFilter, ZINCDruglikeFilter;2707569966073.751;2909827720554.7515;107.47008413504801
1321;RuleOfXuFilter, ZINCBasicFilter;1445020418054.982;1554386112733.5518;107.56845324205023
1285;REOSFilter, TiceInsecticidesFilter;2109645042362.816;2272065629349.969;107.69895331800659
1031;GhoseFilter, HaoFilter;2189374585096.559;2359079746695.604;107.75130773665944
1299;RuleOfThreeFilter, TiceInsecticidesFilter;3790229952164.733;4099201852131.762;108.15179827784762
1239;NIHFilter, TiceInsecticidesFilter;2285187297682.384;2481748884773.682;108.60155258567423
965;BrenkFilter, PAINSFilter;1676520385908.9312;1830076439635.9417;109.15921184243516
921;BeyondRo5Filter, ZINCDruglikeFilter;1527863296632.7158;1676278795594.7285;109.71392527650269
995;FAF4DruglikeFilter, RuleOfTwoFilter;1721732458339.8318;1895925453474.3403;110.11730912609228
1214;NIBRFilter, PAINSFilter;1917015810378.755;2112352313301.5696;110.1896135579717
1274;PfizerFilter, SureChEMBLFilter;1286523390659.3052;1421721677743.6104;110.50880909479773
905;BeyondRo5Filter, NIBRFilter;2191024714973.8572;2425559946513.9653;110.70436266360906
1154;LINTFilter, TiceHerbicidesFilter;1889829491697.1587;2099987933057.2273;111.12049749902759
1205;MolecularWeightFilter, RuleOfXuFilter;1570657265166.4397;1749159573155.107;111.36481598802217
1147;LINTFilter, PfizerFilter;2506189494982.7314;2792191718039.6675;111.41183552279261
933;BMSFilter, MolecularWeightFilter;1827929282740.418;2040639104921.1155;111.6366548853468
1037;GhoseFilter, NIBRFilter;1737339118582.0403;1944248126647.7285;111.90953486585629
1035;GhoseFilter, MLSMRFilter;2183282436300.6409;2451576463088.694;112.28856250236919
