Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bbbp,LogisticRegression,BeyondRo5Filter;BMSFilter,ROC-AUC,0.8362204343939504,0.7868669314796425,94.09802716073581,-0.18851373717312137,0.7425149700598802,0.024135681669927966,0.7573529411764706,-0.39972457780676995,0.6519607843137255,0.7706747843734145,-0.70850106559318,0.5783783783783784,0.7362656878995975,None
bbbp,LogisticRegression,BeyondRo5Filter;BrenkFilter,ROC-AUC,0.8362204343939504,0.8342904587282917,99.76920252289008,-0.03826195253580611,0.7520325203252033,0.024135681669927966,0.7573529411764706,-0.18286584040008735,0.7058823529411765,0.8142349786185403,0.05197401299350313,0.7933579335793358,0.8445603587095343,None
bbbp,LogisticRegression,BeyondRo5Filter;FAF4DruglikeFilter,ROC-AUC,0.8362204343939504,0.8050261780104713,96.26961323827405,0.07062827225130897,0.7903780068728522,0.024135681669927966,0.7573529411764706,-0.18286584040008735,0.7058823529411765,0.7783092942910295,0.041172013134629926,0.7773972602739726,0.8265976256630463,None
bbbp,LogisticRegression,BeyondRo5Filter;FAF4LeadlikeFilter,ROC-AUC,0.8362204343939504,0.7116666666666666,85.1051513925806,-0.2333333333333334,0.76875,0.024135681669927966,0.7573529411764706,-0.7151554685801265,0.5735294117647058,0.6609891039114784,-0.3205884900454108,0.7228041901692184,0.6895083955108454,None
bbbp,LogisticRegression,BeyondRo5Filter;GhoseFilter,ROC-AUC,0.8362204343939504,0.7620583838224879,91.13127980121517,0.01644503894877658,0.8,0.024135681669927966,0.7573529411764706,-0.1434369790534178,0.7156862745098039,0.7615906839651132,-0.009970470731283543,0.7670886075949367,0.7518672919923571,None
bbbp,LogisticRegression,BeyondRo5Filter;GlaxoFilter,ROC-AUC,0.8362204343939504,0.7660377358490567,91.60715337030018,-0.23203532717783992,0.7360703812316716,0.024135681669927966,0.7573529411764706,-0.39972457780676995,0.6519607843137255,0.7790582493778841,-0.9081795397584873,0.5522388059701493,0.7897395002658161,None
bbbp,LogisticRegression,BeyondRo5Filter;GSKFilter,ROC-AUC,0.8362204343939504,0.8238304093567251,98.5183302718254,-0.026315789473684292,0.7860082304526749,0.024135681669927966,0.7573529411764706,-0.19272305573675474,0.7034313725490197,0.7393636297745887,0.03570295144398605,0.7851941747572816,0.7503537236856024,None
bbbp,LogisticRegression,BeyondRo5Filter;HaoFilter,ROC-AUC,0.8362204343939504,0.7579821200510856,90.6438169739815,-0.027937420178799188,0.8284671532846716,0.024135681669927966,0.7573529411764706,-0.3307240704500982,0.6691176470588235,0.7403058635935349,-0.4575476324212515,0.6358208955223881,0.7357102736245219,None
bbbp,LogisticRegression,BeyondRo5Filter;InpharmaticaFilter,ROC-AUC,0.8362204343939504,0.8120898787035196,97.11433077954864,-0.09987074965201814,0.7457627118644068,0.024135681669927966,0.7573529411764706,-0.09415090237008061,0.7279411764705882,0.8331279746804862,0.16814252030390353,0.8024691358024691,0.8441511658370447,None
bbbp,LogisticRegression,BeyondRo5Filter;LINTFilter,ROC-AUC,0.8362204343939504,0.8138787878787879,97.32825872267105,-0.08727272727272739,0.7346153846153847,0.024135681669927966,0.7573529411764706,0.05370732767993014,0.7647058823529411,0.832572298325723,0.1399155181237045,0.8189189189189189,0.8576645184793261,None
bbbp,LogisticRegression,BeyondRo5Filter;LipinskiFilter,ROC-AUC,0.8362204343939504,0.8142751455498729,97.37565742937359,0.024092122615716027,0.7783783783783784,0.024135681669927966,0.7573529411764706,-0.15329419439008518,0.7132352941176471,0.8058031939310478,-1.2058956916099772,0.6041666666666666,0.7071050642479214,None
bbbp,LogisticRegression,BeyondRo5Filter;MLSMRFilter,ROC-AUC,0.8362204343939504,0.7845833333333333,93.82494149427943,-0.1825000000000001,0.7828282828282829,0.024135681669927966,0.7573529411764706,-0.4490106544901069,0.6397058823529411,0.7556473629532992,-0.4390274990954244,0.6831588962892483,0.7158769448373409,None
bbbp,LogisticRegression,BeyondRo5Filter;MolecularWeightFilter,ROC-AUC,0.8362204343939504,0.823604669758516,98.4913350455759,-0.04216642678181137,0.7442455242966752,0.024135681669927966,0.7573529411764706,-0.015293179676741486,0.7475490196078431,0.8333212534125776,-0.28888888888888853,0.8160919540229885,0.7805555555555557,None
bbbp,LogisticRegression,BeyondRo5Filter;NIBRFilter,ROC-AUC,0.8362204343939504,0.8183339976086089,97.86103806488481,-0.0942606616181747,0.7368421052631579,0.024135681669927966,0.7573529411764706,-0.04486482568674366,0.7401960784313726,0.8238264356985818,0.24729437229437234,0.8177570093457944,0.8407963564213564,None
bbbp,LogisticRegression,BeyondRo5Filter;NIHFilter,ROC-AUC,0.8362204343939504,0.7868669314796425,94.09802716073581,-0.18851373717312137,0.7425149700598802,0.024135681669927966,0.7573529411764706,-0.39972457780676995,0.6519607843137255,0.7706747843734145,-0.70850106559318,0.5783783783783784,0.7362656878995975,None
bbbp,LogisticRegression,BeyondRo5Filter;OpreaFilter,ROC-AUC,0.8362204343939504,0.8070856873822976,96.51590109337998,-0.07521186440677985,0.7783251231527094,0.024135681669927966,0.7573529411764706,-0.15329419439008518,0.7132352941176471,0.8112633181126332,0.11021015684009428,0.810126582278481,0.8450415426311815,None
