Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
clintox,LogisticRegression,BeyondRo5Filter;BMSFilter,ROC-AUC,0.9103202846975089,0.8620689655172414,94.69952279528727,0.2655172413793103,0.9671361502347418,0.01684460260972731,0.9527027027027027,-0.40450771055753254,0.9324324324324325,0.8548042704626334,-2.2503132832080195,0.8795180722891566,0.7160087719298246,None
clintox,LogisticRegression,BeyondRo5Filter;BrenkFilter,ROC-AUC,0.9103202846975089,0.8782051282051282,96.47210360658367,0.1282051282051283,0.9632352941176471,0.01684460260972731,0.9527027027027027,-0.1236061684460259,0.9459459459459459,0.8505338078291815,-0.24942724835486207,0.920099875156055,0.7871191810870095,None
clintox,LogisticRegression,BeyondRo5Filter;FAF4DruglikeFilter,ROC-AUC,0.9103202846975089,0.7235023041474654,79.47777461510468,-0.4308755760368663,0.8695652173913043,0.01684460260972731,0.9527027027027027,-5.530960854092526,0.6858108108108109,0.6204033214709371,-6.637511478420571,0.7149161518093556,0.6313966107354537,None
clintox,LogisticRegression,BeyondRo5Filter;FAF4LeadlikeFilter,ROC-AUC,0.9103202846975089,0.6142857142857142,67.48017424327041,-1.6428571428571437,0.8648648648648649,0.01684460260972731,0.9527027027027027,-7.778173190984578,0.5777027027027027,0.5516014234875446,-7.2313397967527155,0.5784996133023975,0.528659035159444,None
clintox,LogisticRegression,BeyondRo5Filter;GhoseFilter,ROC-AUC,0.9103202846975089,0.7461832061068703,81.96930450196659,-0.28816793893129744,0.9629629629629629,0.01684460260972731,0.9527027027027027,-0.7556346381969155,0.9155405405405406,0.7871886120996441,-0.8001043387531517,0.8718905472636815,0.7635966437701069,None
clintox,LogisticRegression,BeyondRo5Filter;GlaxoFilter,ROC-AUC,0.9103202846975089,0.9298469387755103,102.14503119465144,0.20408163265306145,0.9567307692307693,0.01684460260972731,0.9527027027027027,-0.47473309608540903,0.9290540540540541,0.8948991696322657,-1.7240566037735845,0.9045454545454545,0.7598024764150944,None
clintox,LogisticRegression,BeyondRo5Filter;GSKFilter,ROC-AUC,0.9103202846975089,0.9038854805725972,99.29312745930406,-1.0368098159509196,0.963855421686747,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.7988137603795967,-0.4539363484087102,0.8894009216589862,0.7633538060673738,None
clintox,LogisticRegression,BeyondRo5Filter;HaoFilter,ROC-AUC,0.9103202846975089,0.7793103448275861,85.60836860693968,-1.0413793103448268,0.9594594594594594,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.7696322657176751,-0.4884551186943624,0.8821138211382114,0.7932353486646885,None
clintox,LogisticRegression,BeyondRo5Filter;InpharmaticaFilter,ROC-AUC,0.9103202846975089,0.8569214876033058,94.13406490091045,0.42045454545454564,0.9679144385026738,0.01684460260972731,0.9527027027027027,-0.2640569395017791,0.9391891891891891,0.8372479240806643,-0.5166666666666664,0.9212454212454212,0.7261304909560724,None
clintox,LogisticRegression,BeyondRo5Filter;LINTFilter,ROC-AUC,0.9103202846975089,0.8207762557077626,90.16345889518423,0.3059360730593609,0.9736842105263158,0.01684460260972731,0.9527027027027027,-0.19383155397390261,0.9425675675675675,0.8476868327402135,-0.5400260029717685,0.9042995839112344,0.7896390539871223,None
clintox,LogisticRegression,BeyondRo5Filter;LipinskiFilter,ROC-AUC,0.9103202846975089,0.8948226661231147,98.29756418318813,-0.14472075010191632,0.9487179487179487,0.01684460260972731,0.9527027027027027,-0.47473309608540903,0.9290540540540541,0.838908659549229,-0.7845592070944183,0.8585209003215434,0.7708659363588941,None
clintox,LogisticRegression,BeyondRo5Filter;MLSMRFilter,ROC-AUC,0.9103202846975089,0.853723404255319,93.78275081929031,0.21808510638297862,0.9693877551020408,0.01684460260972731,0.9527027027027027,0.01684460260972731,0.9527027027027027,0.7416370106761566,-0.045349451109614414,0.9414141414141414,0.7472100347721604,None
clintox,LogisticRegression,BeyondRo5Filter;MolecularWeightFilter,ROC-AUC,0.9103202846975089,0.9176470588235295,100.80485673550108,0.07871148459383726,0.9486166007905138,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.8880189798339264,-4.144230769230769,0.8598130841121495,0.8161057692307692,None
clintox,LogisticRegression,BeyondRo5Filter;NIBRFilter,ROC-AUC,0.9103202846975089,0.8522988505747127,93.62626153694067,0.15402298850574703,0.9565217391304348,0.01684460260972731,0.9527027027027027,-0.40450771055753254,0.9324324324324325,0.873546856465006,-1.2636815920398008,0.9071428571428571,0.7784903606965174,None
clintox,LogisticRegression,BeyondRo5Filter;NIHFilter,ROC-AUC,0.9103202846975089,0.8620689655172414,94.69952279528727,0.2655172413793103,0.9671361502347418,0.01684460260972731,0.9527027027027027,-0.40450771055753254,0.9324324324324325,0.8548042704626334,-2.2503132832080195,0.8795180722891566,0.7160087719298246,None
clintox,LogisticRegression,BeyondRo5Filter;OpreaFilter,ROC-AUC,0.9103202846975089,0.8508771929824561,93.47009039408529,-0.4175438596491221,0.9207920792079208,0.01684460260972731,0.9527027027027027,-0.19383155397390261,0.9425675675675675,0.8334519572953736,-0.21515835343553014,0.9180327868852459,0.6844447902886934,None
clintox,LogisticRegression,BeyondRo5Filter;PAINSFilter,ROC-AUC,0.9103202846975089,0.8826086956521739,96.9558418601489,-0.20724637681159397,0.9306122448979591,0.01684460260972731,0.9527027027027027,-0.685409252669039,0.918918918918919,0.8621589561091341,-2.895305514157973,0.8392156862745098,0.807004470938897,None
clintox,LogisticRegression,BeyondRo5Filter;PfizerFilter,ROC-AUC,0.9103202846975089,0.835,91.72595777951524,0.36250000000000004,0.9647058823529412,0.01684460260972731,0.9527027027027027,-0.40450771055753254,0.9324324324324325,0.7819691577698695,-0.5699404761904756,0.9118483412322275,0.7405913978494623,None
clintox,LogisticRegression,BeyondRo5Filter;REOSFilter,ROC-AUC,0.9103202846975089,0.8694638694638694,95.51186369012795,-0.2156177156177157,0.9530201342281879,0.01684460260972731,0.9527027027027027,-0.8258600237247922,0.9121621621621622,0.8109134045077107,-1.0080316742081452,0.8674863387978142,0.7683682126696832,None
clintox,LogisticRegression,BeyondRo5Filter;RuleOfFourFilter,ROC-AUC,0.9103202846975089,0.8846153846153846,97.17627954531784,-0.7307692307692311,0.8,0.01684460260972731,0.9527027027027027,-2.8623962040332143,0.8141891891891891,0.6911032028469751,-1.309974937343358,0.8832740213523131,0.6959548872180451,None
