;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
223;"InpharmaticaFilter;RuleOfFourFilter";79.796;-17.6002;77.9435
198;"HaoFilter;NIBRFilter";79.796;-17.6047;77.9379
308;"NIBRFilter;TiceInsecticidesFilter";79.796;-17.6315;77.9042
111;"FAF4LeadlikeFilter;LINTFilter";79.796;-17.7344;77.7753
395;"TiceInsecticidesFilter;ZINCBasicFilter";79.796;-17.7792;77.7192
263;"LipinskiFilter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
24;"BeyondRo5Filter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
294;"MolecularWeightFilter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
375;"RuleOfVeberFilter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
321;"NIHFilter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
51;"BMSFilter;TiceInsecticidesFilter";79.796;-17.8373;77.6463
359;"REOSFilter;SureChEMBLFilter";79.796;-17.8865;77.5847
146;"GhoseFilter;TiceHerbicidesFilter";79.796;-17.9537;77.5006
188;"GSKFilter;TiceHerbicidesFilter";79.796;-18.0073;77.4333
367;"RuleOfFourFilter;SureChEMBLFilter";79.796;-18.0476;77.3828
110;"FAF4LeadlikeFilter;InpharmaticaFilter";79.796;-18.07;77.3548
389;"SureChEMBLFilter;ZINCDruglikeFilter";79.796;-18.1416;77.2651
7;"BeyondRo5Filter;HaoFilter";79.796;-18.2623;77.1137
195;"HaoFilter;LipinskiFilter";79.796;-18.2623;77.1137
197;"HaoFilter;MolecularWeightFilter";79.796;-18.2623;77.1137
201;"HaoFilter;PAINSFilter";79.796;-18.2623;77.1137
34;"BMSFilter;HaoFilter";79.796;-18.2623;77.1137
199;"HaoFilter;NIHFilter";79.796;-18.2623;77.1137
205;"HaoFilter;RuleOfVeberFilter";79.796;-18.2623;77.1137
211;"HaoFilter;ZINCBasicFilter";79.796;-18.2623;77.1137
343;"PAINSFilter;TiceInsecticidesFilter";79.796;-18.4771;76.8446
384;"RuleOfXuFilter;ZINCDruglikeFilter";79.796;-18.6426;76.6371
164;"GlaxoFilter;RuleOfFourFilter";79.796;-18.6516;76.6259
98;"FAF4DruglikeFilter;RuleOfVeberFilter";79.796;-18.6963;76.5699
241;"LINTFilter;RuleOfFourFilter";79.796;-18.7411;76.5138
125;"FAF4LeadlikeFilter;TiceInsecticidesFilter";79.796;-18.7455;76.5082
371;"RuleOfFourFilter;ZINCDruglikeFilter";79.796;-18.75;76.5026
166;"GlaxoFilter;RuleOfXuFilter";79.796;-18.8708;76.3512
120;"FAF4LeadlikeFilter;REOSFilter";79.796;-18.9871;76.2054
107;"FAF4LeadlikeFilter;GlaxoFilter";79.796;-19.1705;75.9756
116;"FAF4LeadlikeFilter;NIHFilter";79.796;-19.1705;75.9756
30;"BMSFilter;FAF4LeadlikeFilter";79.796;-19.1705;75.9756
115;"FAF4LeadlikeFilter;NIBRFilter";79.796;-19.1705;75.9756
81;"FAF4DruglikeFilter;FAF4LeadlikeFilter";79.796;-19.1705;75.9756
121;"FAF4LeadlikeFilter;RuleOfVeberFilter";79.796;-19.1705;75.9756
