Dataset,Model,Filters,Metric,Baseline RMSE,Filtered RMSE,Mixed RMSE,Rest RMSE,Improvement (%)
esol,MLP,BeyondRo5Filter,1.2406571085472424,1.216442810613621,1.2326430826660448,1.325062100551351,1.9517316885384606
esol,MLP,BMSFilter,1.2406571085472424,1.1910070362306304,1.287012517005717,1.5111887469774523,4.00191736899409
esol,MLP,BrenkFilter,1.2406571085472424,1.2504610244168097,1.5441036918731896,1.42937028033849,-0.7902196184606858
esol,MLP,FAF4DruglikeFilter,1.2406571085472424,1.1003261172154055,1.5712028698156033,1.576040560609219,11.311021422845723
esol,MLP,FAF4LeadlikeFilter,1.2406571085472424,0.9493451925252843,1.8842728030906801,1.7521951741903106,23.480453544740676
esol,MLP,GhoseFilter,1.2406571085472424,0.9576116384665121,1.0860389629771523,1.1846279045546189,22.814157766134493
esol,MLP,GlaxoFilter,1.2406571085472424,1.2024508985902629,1.1802545897496866,1.126187129573416,3.079514048947607
esol,MLP,GSKFilter,1.2406571085472424,0.9457605143752821,1.3958514566981968,1.79117540280384,23.769387378699015
esol,MLP,HaoFilter,1.2406571085472424,1.0581954753911134,1.2878799986839196,1.3938423579517967,14.706854287062765
esol,MLP,InpharmaticaFilter,1.2406571085472424,1.2814253923788113,1.5936719637873376,1.6269574416530284,-3.2860234750362816
esol,MLP,LINTFilter,1.2406571085472424,1.2484419547231513,1.5011910888950823,1.4065336049923105,-0.6274776585953434
esol,MLP,LipinskiFilter,1.2406571085472424,1.191914896622924,1.2088208876722075,1.1200752057486871,3.9287415989897045
esol,MLP,MLSMRFilter,1.2406571085472424,1.308071051172328,1.6051861228450646,1.4123518538356483,-5.433728800701787
esol,MLP,NIBRFilter,1.2406571085472424,1.212831142597332,1.5461937871362914,1.7116575532905003,2.2428409717890174
esol,MLP,NIHFilter,1.2406571085472424,1.1910070362306304,1.287012517005717,1.5111887469774523,4.00191736899409
esol,MLP,OpreaFilter,1.2406571085472424,1.2208664725135179,2.0850904672633295,2.045445143926565,1.5951737105587949
esol,MLP,PAINSFilter,1.2406571085472424,1.2063294392856785,1.2215448499882788,1.5183632948279968,2.766894174471801
esol,MLP,PfizerFilter,1.2406571085472424,0.8798779016328101,2.5949137599785628,2.6076802322956234,29.079687242262263
esol,MLP,REOSFilter,1.2406571085472424,1.0888492612493015,1.229937848906785,1.5916892226149275,12.236084108340107
esol,MLP,RuleOfFourFilter,1.2406571085472424,0.1587839235029902,2.862623866835002,2.6757970576011387,87.20162707253421
esol,MLP,RuleOfThreeFilter,1.2406571085472424,0.8720746281446687,1.8178835161078748,1.8832050168000711,29.708650187332452
esol,MLP,RuleOfTwoFilter,1.2406571085472424,1.0104787724993411,2.814990272184753,2.635318095170429,18.5529373476472
esol,MLP,RuleOfVeberFilter,1.2406571085472424,1.1828948445197691,1.1881708334627161,1.6151916784927043,4.655779879028021
esol,MLP,RuleOfXuFilter,1.2406571085472424,1.3391680187288988,1.9701139089032396,1.8773017490677002,-7.940220509195206
esol,MLP,SureChEMBLFilter,1.2406571085472424,1.2297576150087104,1.408003673946993,1.3179872803268222,0.8785258604849244
esol,MLP,TiceHerbicidesFilter,1.2406571085472424,0.8335212067777878,1.9998888047446601,2.078751285650646,32.816150325869955
esol,MLP,TiceInsecticidesFilter,1.2406571085472424,1.0931514141664669,1.5744456220779506,1.7189977946900545,11.889320051815
esol,MLP,ValenceDiscoveryFilter,1.2406571085472424,1.010258399000614,2.1146384341836515,1.9597717721664702,18.570699991105176
esol,MLP,ZINCBasicFilter,1.2406571085472424,1.1581705942545957,1.1560096822231947,1.0159538354230073,6.64861497382101
esol,MLP,ZINCDruglikeFilter,1.2406571085472424,1.1351620102571844,1.1574074089366089,1.1336523921731851,8.503163167588534
esol,SGD,BeyondRo5Filter,1752473303712.7893,2086936292508.9226,1873670066969.7695,2679998646763.15,-19.085197365776718
esol,SGD,BMSFilter,1752473303712.7893,1533090691164.527,1530804496430.2927,1017512241730.6774,12.518456748155781
esol,SGD,BrenkFilter,1752473303712.7893,1639647746641.473,2940704692270.1597,1692942025404.6096,6.43807565183927
esol,SGD,FAF4DruglikeFilter,1752473303712.7893,2725045081649.2026,1222993007105.808,1615523374458.2878,-55.49709521257318
esol,SGD,FAF4LeadlikeFilter,1752473303712.7893,1795028406238.8237,2649303472860.4814,1359436173517.8235,-2.4282882047833354
esol,SGD,GhoseFilter,1752473303712.7893,2381008291602.2744,2771970063881.179,1583465391583.826,-35.86559558755451
esol,SGD,GlaxoFilter,1752473303712.7893,1835282166609.5464,1733831375245.3994,1919203265445.3848,-4.725256739792738
esol,SGD,GSKFilter,1752473303712.7893,4051687044986.2925,2156048341704.9243,2754781922135.807,-131.19821776470943
esol,SGD,HaoFilter,1752473303712.7893,2371745931708.002,4629453882321.001,2067561511763.9116,-35.33706486045875
esol,SGD,InpharmaticaFilter,1752473303712.7893,1822706257729.669,1571691917916.359,2670992167359.0635,-4.007647584022211
esol,SGD,LINTFilter,1752473303712.7893,2602941055884.474,5068805697616.688,2617550154086.55,-48.5295696299558
esol,SGD,LipinskiFilter,1752473303712.7893,1654606927769.518,1332282119333.53,2762016355290.0728,5.584471714115791
esol,SGD,MLSMRFilter,1752473303712.7893,3262935923793.306,4355380074693.652,2305344079727.1177,-86.1903355035681
esol,SGD,NIBRFilter,1752473303712.7893,3165095824421.07,1754764184308.729,2612810458061.282,-80.60736318867163
esol,SGD,NIHFilter,1752473303712.7893,2139081426289.7275,2039076191092.7986,1976273972590.6123,-22.06071394970015
