Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,LogisticRegression,BeyondRo5Filter,ROC-AUC,0.7979599141016465,0.8041576479076478,100.77669738748453,-0.13636363636363602,0.72,-0.19291338582677198,0.7095709570957096,-0.19291338582677198,0.7095709570957096,0.7951413743736577,-0.36363636363636354,0.7333333333333333,0.7954545454545454,None
bace,LogisticRegression,BMSFilter,ROC-AUC,0.7979599141016465,0.7998540412333516,100.23737121354492,-0.2041598248494798,0.7066666666666667,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7980493915533285,-0.0714285714285714,0.9333333333333333,0.9285714285714286,None
bace,LogisticRegression,BrenkFilter,ROC-AUC,0.7979599141016465,0.7856817491648952,98.46130554683637,-0.3674460977831766,0.679324894514768,-0.19291338582677198,0.7095709570957096,-0.3691392269148177,0.6666666666666666,0.7626610594130279,-0.2087256027554536,0.7082066869300911,0.7889781859931113,None
bace,LogisticRegression,FAF4DruglikeFilter,ROC-AUC,0.7979599141016465,0.8157142857142856,102.22497036491202,-0.17714285714285705,0.7669902912621359,-0.19291338582677198,0.7095709570957096,-1.1282659269864,0.48184818481848185,0.6006621331424482,-0.7251076040172166,0.5688622754491018,0.6257871034592699,None
bace,LogisticRegression,FAF4LeadlikeFilter,ROC-AUC,0.7979599141016465,0.7760617760617761,97.25573457351882,-0.11969111969111967,0.7413793103448276,-0.19291338582677198,0.7095709570957096,-1.2773801002147462,0.44554455445544555,0.606254473872584,-0.6344840100764269,0.5918367346938775,0.6787992079757483,None
bace,LogisticRegression,GhoseFilter,ROC-AUC,0.7979599141016465,0.7021978021978023,87.99913251135499,-0.625274725274725,0.6091954022988506,-0.19291338582677198,0.7095709570957096,-1.385826771653544,0.41914191419141916,0.5247852541159628,-0.8355890205325227,0.5425138632162662,0.6143905874611438,None
bace,LogisticRegression,GlaxoFilter,ROC-AUC,0.7979599141016465,0.7489088575096277,93.8529422687553,-0.272400513478819,0.6836158192090396,-0.19291338582677198,0.7095709570957096,-0.4640300644237656,0.6435643564356436,0.6898711524695776,-0.6087530483503638,0.5990491283676703,0.6504625430799926,None
bace,LogisticRegression,GSKFilter,ROC-AUC,0.7979599141016465,0.725925925925926,90.97273097273097,-0.523232323232323,0.6282051282051282,-0.19291338582677198,0.7095709570957096,-1.3722709377236941,0.42244224422442245,0.5251879026485327,-0.7396248763553652,0.5652173913043478,0.6050947889693236,None
bace,LogisticRegression,HaoFilter,ROC-AUC,0.7979599141016465,0.7851851851851851,98.39907635826,-0.46296296296296346,0.6835443037974683,-0.19291338582677198,0.7095709570957096,-0.992707587687903,0.5148514851485149,0.615336435218325,-0.6876472739414563,0.5784313725490197,0.6061898780468415,None
bace,LogisticRegression,InpharmaticaFilter,ROC-AUC,0.7979599141016465,0.7777340012382505,97.46529712759236,-0.2859796251477458,0.6911764705882353,-0.19291338582677198,0.7095709570957096,-0.19291338582677198,0.7095709570957096,0.7886542591267,-0.1174412793603199,0.7243589743589743,0.7788605697151425,None
bace,LogisticRegression,LINTFilter,ROC-AUC,0.7979599141016465,0.7662037037037037,96.02032510195775,-0.5622222222222226,0.6576576576576577,-0.19291338582677198,0.7095709570957096,-0.3555833929849681,0.66996699669967,0.7684770937723693,-0.13317995910020453,0.7270471464019851,0.7780674846625767,None
bace,LogisticRegression,LipinskiFilter,ROC-AUC,0.7979599141016465,0.7809348739495798,97.86642914622678,-0.24553571428571397,0.6953405017921147,-0.19291338582677198,0.7095709570957096,-0.233580887616321,0.6996699669966997,0.7773353614889048,-0.5254237288135593,0.6186440677966102,0.6788279230106291,None
bace,LogisticRegression,MLSMRFilter,ROC-AUC,0.7979599141016465,0.7912234042553192,99.15578342630015,-0.3656914893617027,0.6708860759493671,-0.19291338582677198,0.7095709570957096,-1.11471009305655,0.48514851485148514,0.557444523979957,-0.8848514569050341,0.5295169946332737,0.6025154088020077,None
bace,LogisticRegression,MolecularWeightFilter,ROC-AUC,0.7979599141016465,0.80033158578662,100.29721689561856,-0.16377649325626176,0.7152317880794702,-0.19291338582677198,0.7095709570957096,-0.19291338582677198,0.7095709570957096,0.7973783106657123,-1.6666666666666665,0.5,0.6666666666666666,None
bace,LogisticRegression,NIBRFilter,ROC-AUC,0.7979599141016465,0.8028543307086614,100.61336622561112,-0.07342519685039384,0.735191637630662,-0.19291338582677198,0.7095709570957096,-0.15224588403722294,0.7194719471947195,0.7821224051539013,-0.2606060606060605,0.6923076923076923,0.6902356902356902,None
bace,LogisticRegression,NIHFilter,ROC-AUC,0.7979599141016465,0.7998540412333516,100.23737121354492,-0.2041598248494798,0.7066666666666667,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7980493915533285,-0.0714285714285714,0.9333333333333333,0.9285714285714286,None
bace,LogisticRegression,OpreaFilter,ROC-AUC,0.7979599141016465,0.8533834586466166,106.9456552347453,0.022556390977443663,0.8076923076923077,-0.19291338582677198,0.7095709570957096,-1.033375089477452,0.504950495049505,0.5982462419470292,-0.6890689008539161,0.5777331995987964,0.6157817643318766,None
