;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
526;"BrenkFilter;PfizerFilter";82.8586;-11.0628;86.6486
873;"RuleOfTwoFilter;TiceInsecticidesFilter";82.8586;-11.0918;86.6136
780;"NIBRFilter;PfizerFilter";82.8586;-11.1498;86.5436
603;"GhoseFilter;PfizerFilter";82.8586;-11.4723;86.1544
862;"RuleOfThreeFilter;RuleOfXuFilter";82.8586;-11.9507;85.577
843;"PfizerFilter;ZINCDruglikeFilter";82.8586;-11.9869;85.5333
798;"NIHFilter;RuleOfThreeFilter";82.8586;-12.5969;84.7971
573;"FAF4LeadlikeFilter;MLSMRFilter";82.8586;-12.6428;84.7417
498;"BMSFilter;PfizerFilter";82.8586;-12.9267;84.3991
606;"GhoseFilter;RuleOfTwoFilter";82.8586;-12.9787;84.3364
501;"BMSFilter;RuleOfThreeFilter";82.8586;-13.7554;83.3989
582;"FAF4LeadlikeFilter;RuleOfTwoFilter";82.8586;-13.7602;83.3931
841;"PfizerFilter;ValenceDiscoveryFilter";82.8586;-13.8472;83.2881
795;"NIHFilter;PfizerFilter";82.8586;-14.241;82.8129
861;"RuleOfThreeFilter;RuleOfVeberFilter";82.8586;-14.2809;82.7648
502;"BMSFilter;RuleOfTwoFilter";82.8586;-14.4258;82.5898
868;"RuleOfThreeFilter;ZINCDruglikeFilter";82.8586;-14.5201;82.4761
799;"NIHFilter;RuleOfTwoFilter";82.8586;-14.5974;82.3828
839;"PfizerFilter;TiceHerbicidesFilter";82.8586;-14.6288;82.3449
629;"GlaxoFilter;RuleOfThreeFilter";82.8586;-14.6735;82.2909
732;"LipinskiFilter;RuleOfThreeFilter";82.8586;-14.7218;82.2326
867;"RuleOfThreeFilter;ZINCBasicFilter";82.8586;-14.9719;81.9308
767;"MolecularWeightFilter;RuleOfThreeFilter";82.8586;-15.0637;81.82
871;"RuleOfTwoFilter;SureChEMBLFilter";82.8586;-15.2014;81.6538
626;"GlaxoFilter;PfizerFilter";82.8586;-15.3439;81.4818
