;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
50;BMSFilter, RuleOfTwoFilter;0.8477;2.6505;312.6723588929281
342;NIHFilter, RuleOfTwoFilter;0.8477;2.6505;312.6723588929281
239;InpharmaticaFilter, RuleOfTwoFilter;0.8361;2.6532;317.34561632229065
151;GhoseFilter, RuleOfThreeFilter;0.6459;2.0651;319.73507260547336
388;REOSFilter, RuleOfThreeFilter;0.6422;2.0594;320.6622827538554
323;NIBRFilter, PfizerFilter;0.6795;2.2494;331.0614443593955
176;GlaxoFilter, RuleOfTwoFilter;0.82;2.7236;332.1570359482736
327;NIBRFilter, RuleOfTwoFilter;0.8314;2.7642;332.4567024241671
407;RuleOfThreeFilter, TiceInsecticidesFilter;0.6173;2.087;338.1074667256973
21;BeyondRo5Filter, RuleOfTwoFilter;0.83;2.814;339.05720246090016
416;RuleOfTwoFilter, ZINCBasicFilter;0.8227;2.8056;341.03880002705165
198;GSKFilter, RuleOfTwoFilter;0.8245;2.8158;341.50180454368996
411;RuleOfTwoFilter, RuleOfVeberFilter;0.8245;2.8158;341.50180454368996
311;MolecularWeightFilter, RuleOfTwoFilter;0.8245;2.8158;341.50180454368996
368;PAINSFilter, RuleOfTwoFilter;0.8245;2.8158;341.50180454368996
219;HaoFilter, RuleOfTwoFilter;0.8245;2.8158;341.50180454368996
277;LipinskiFilter, RuleOfTwoFilter;0.8245;2.8158;341.50180454368996
404;RuleOfThreeFilter, RuleOfXuFilter;0.6253;2.1756;347.91720913320063
354;OpreaFilter, RuleOfThreeFilter;0.4978;2.1343;428.6984387340635
48;BMSFilter, RuleOfFourFilter;0.514;2.5195;490.1770552225882
399;RuleOfFourFilter, SureChEMBLFilter;0.514;2.5195;490.1770552225882
398;RuleOfFourFilter, RuleOfXuFilter;0.514;2.5195;490.1770552225882
340;NIHFilter, RuleOfFourFilter;0.514;2.5195;490.1770552225882
325;NIBRFilter, RuleOfFourFilter;0.514;2.5195;490.1770552225882
355;OpreaFilter, RuleOfTwoFilter;0.4598;2.2655;492.72044115903304
379;PfizerFilter, RuleOfTwoFilter;0.4271;2.3584;552.1417146054478
412;RuleOfTwoFilter, RuleOfXuFilter;0.4085;2.3117;565.8561995506843
378;PfizerFilter, RuleOfThreeFilter;0.4142;2.6122;630.7242920893044
366;PAINSFilter, RuleOfFourFilter;0.3849;2.4433;634.770754004303
397;RuleOfFourFilter, RuleOfVeberFilter;0.3849;2.4433;634.770754004303
19;BeyondRo5Filter, RuleOfFourFilter;0.3849;2.4433;634.770754004303
174;GlaxoFilter, RuleOfFourFilter;0.3849;2.4433;634.770754004303
400;RuleOfFourFilter, ZINCBasicFilter;0.3849;2.4433;634.770754004303
309;MolecularWeightFilter, RuleOfFourFilter;0.3849;2.4433;634.770754004303
401;RuleOfFourFilter, ZINCDruglikeFilter;0.242;2.3795;983.2676217988256
275;LipinskiFilter, RuleOfFourFilter;0.242;2.3795;983.2676217988256
