;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
162;"GhoseFilter;ZINCDruglikeFilter";83.622;-8.6154;89.6972
357;"OpreaFilter;PfizerFilter";83.622;-8.7241;89.5672
190;"GSKFilter;LipinskiFilter";83.622;-8.7338;89.5556
80;"BrenkFilter;RuleOfXuFilter";83.622;-8.7579;89.5268
143;"GhoseFilter;LINTFilter";83.622;-8.7628;89.521
250;"InpharmaticaFilter;ZINCDruglikeFilter";83.622;-8.7724;89.5094
187;"GSKFilter;HaoFilter";83.622;-8.8497;89.417
304;"MLSMRFilter;TiceInsecticidesFilter";83.622;-8.8884;89.3707
294;"MLSMRFilter;PAINSFilter";83.622;-8.9101;89.3447
86;"BrenkFilter;ZINCDruglikeFilter";83.622;-8.9174;89.3361
203;"GSKFilter;SureChEMBLFilter";83.622;-8.9561;89.2898
406;"RuleOfFourFilter;ZINCBasicFilter";83.622;-9.0213;89.2118
211;"HaoFilter;LipinskiFilter";83.622;-9.0358;89.1945
213;"HaoFilter;MolecularWeightFilter";83.622;-9.0358;89.1945
222;"HaoFilter;RuleOfVeberFilter";83.622;-9.0358;89.1945
223;"HaoFilter;RuleOfXuFilter";83.622;-9.0454;89.1829
192;"GSKFilter;MolecularWeightFilter";83.622;-9.0986;89.1194
388;"PfizerFilter;TiceInsecticidesFilter";83.622;-9.2194;88.9749
271;"LipinskiFilter;MLSMRFilter";83.622;-9.2508;88.9374
306;"MLSMRFilter;ZINCBasicFilter";83.622;-9.2581;88.9287
201;"GSKFilter;RuleOfVeberFilter";83.622;-9.4223;88.7322
297;"MLSMRFilter;RuleOfFourFilter";83.622;-9.4972;88.6427
197;"GSKFilter;PfizerFilter";83.622;-9.5407;88.5907
168;"GlaxoFilter;MLSMRFilter";83.622;-9.589;88.5329
7;"BeyondRo5Filter;HaoFilter";83.622;-9.5915;88.53
88;"FAF4DruglikeFilter;GhoseFilter";83.622;-9.6156;88.5011
224;"HaoFilter;SureChEMBLFilter";83.622;-9.6229;88.4924
92;"FAF4DruglikeFilter;InpharmaticaFilter";83.622;-9.6277;88.4867
292;"MLSMRFilter;NIHFilter";83.622;-9.6349;88.478
40;"BMSFilter;MLSMRFilter";83.622;-9.6349;88.478
202;"GSKFilter;RuleOfXuFilter";83.622;-9.6567;88.452
145;"GhoseFilter;MLSMRFilter";83.622;-9.6664;88.4404
6;"BeyondRo5Filter;GSKFilter";83.622;-9.6857;88.4173
387;"PfizerFilter;TiceHerbicidesFilter";83.622;-9.6929;88.4086
290;"MLSMRFilter;MolecularWeightFilter";83.622;-9.705;88.3942
228;"HaoFilter;ZINCBasicFilter";83.622;-9.7727;88.3133
207;"GSKFilter;ZINCBasicFilter";83.622;-9.7847;88.2989
84;"BrenkFilter;ValenceDiscoveryFilter";83.622;-9.8693;88.1977
252;"LINTFilter;MLSMRFilter";83.622;-9.9853;88.0591
340;"NIBRFilter;ZINCDruglikeFilter";83.622;-10.0312;88.0042
64;"BrenkFilter;HaoFilter";83.622;-10.0481;87.9839
83;"BrenkFilter;TiceInsecticidesFilter";83.622;-10.0674;87.9608
389;"PfizerFilter;ValenceDiscoveryFilter";83.622;-10.0916;87.9319
307;"MLSMRFilter;ZINCDruglikeFilter";83.622;-10.1447;87.8684
141;"GhoseFilter;HaoFilter";83.622;-10.1616;87.8481
291;"MLSMRFilter;NIBRFilter";83.622;-10.2655;87.7239
328;"NIBRFilter;PfizerFilter";83.622;-10.3911;87.5737
227;"HaoFilter;ValenceDiscoveryFilter";83.622;-10.4008;87.5621
256;"LINTFilter;OpreaFilter";83.622;-10.5168;87.4234
210;"HaoFilter;LINTFilter";83.622;-10.5893;87.3368
302;"MLSMRFilter;SureChEMBLFilter";83.622;-10.6134;87.3079
59;"BrenkFilter;FAF4DruglikeFilter";83.622;-10.6158;87.305
63;"BrenkFilter;GSKFilter";83.622;-10.6255;87.2934
401;"RuleOfFourFilter;RuleOfVeberFilter";83.622;-10.6593;87.253
127;"FAF4LeadlikeFilter;PfizerFilter";83.622;-10.6956;87.2096
226;"HaoFilter;TiceInsecticidesFilter";83.622;-10.7801;87.1085
391;"PfizerFilter;ZINCDruglikeFilter";83.622;-10.8478;87.0276
97;"FAF4DruglikeFilter;NIBRFilter";83.622;-10.884;86.9843
301;"MLSMRFilter;RuleOfXuFilter";83.622;-10.8864;86.9814
182;"GlaxoFilter;TiceHerbicidesFilter";83.622;-10.9613;86.8918
212;"HaoFilter;MLSMRFilter";83.622;-10.971;86.8803
151;"GhoseFilter;PfizerFilter";83.622;-10.9831;86.8658
238;"InpharmaticaFilter;PfizerFilter";83.622;-10.9927;86.8543
68;"BrenkFilter;MLSMRFilter";83.622;-11.0072;86.8369
441;"SureChEMBLFilter;ZINCDruglikeFilter";83.622;-11.2029;86.6029
193;"GSKFilter;NIBRFilter";83.622;-11.2343;86.5654
183;"GlaxoFilter;TiceInsecticidesFilter";83.622;-11.2633;86.5307
