;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
224;"HaoFilter;RuleOfXuFilter";91.032;-7.8292;91.3995
257;"LINTFilter;OpreaFilter";91.032;-7.8529;91.3735
277;"LipinskiFilter;PAINSFilter";91.032;-7.8529;91.3735
391;"PfizerFilter;ZINCBasicFilter";91.032;-7.8766;91.3474
363;"OpreaFilter;RuleOfVeberFilter";91.032;-7.9478;91.2692
364;"OpreaFilter;RuleOfXuFilter";91.032;-7.9953;91.2171
311;"MolecularWeightFilter;OpreaFilter";91.032;-7.9953;91.2171
163;"GlaxoFilter;GSKFilter";91.032;-8.019;91.191
183;"GlaxoFilter;TiceInsecticidesFilter";91.032;-8.019;91.191
252;"LINTFilter;LipinskiFilter";91.032;-8.0427;91.165
276;"LipinskiFilter;OpreaFilter";91.032;-8.0664;91.1389
396;"REOSFilter;RuleOfXuFilter";91.032;-8.0902;91.1128
174;"GlaxoFilter;PfizerFilter";91.032;-8.1376;91.0607
57;"BMSFilter;ZINCBasicFilter";91.032;-8.2325;90.9565
355;"NIHFilter;ZINCBasicFilter";91.032;-8.2325;90.9565
334;"NIBRFilter;RuleOfVeberFilter";91.032;-8.28;90.9044
382;"PAINSFilter;ZINCBasicFilter";91.032;-8.3037;90.8783
357;"OpreaFilter;PAINSFilter";91.032;-8.3037;90.8783
44;"BMSFilter;OpreaFilter";91.032;-8.5647;90.5916
342;"NIHFilter;OpreaFilter";91.032;-8.5647;90.5916
318;"MolecularWeightFilter;RuleOfVeberFilter";91.032;-8.8493;90.2789
287;"LipinskiFilter;TiceInsecticidesFilter";91.032;-8.9442;90.1746
26;"BeyondRo5Filter;TiceInsecticidesFilter";91.032;-8.9442;90.1746
322;"MolecularWeightFilter;TiceInsecticidesFilter";91.032;-8.9442;90.1746
231;"InpharmaticaFilter;LINTFilter";91.032;-8.968;90.1486
431;"RuleOfVeberFilter;ZINCBasicFilter";91.032;-8.9917;90.1225
85;"BrenkFilter;ZINCBasicFilter";91.032;-9.0391;90.0704
397;"REOSFilter;SureChEMBLFilter";91.032;-9.0866;90.0182
449;"TiceInsecticidesFilter;ZINCBasicFilter";91.032;-9.0866;90.0182
