;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
475;"BeyondRo5Filter;RuleOfTwoFilter";94.5433;-34.911;63.074
592;"FAF4LeadlikeFilter;ZINCDruglikeFilter";94.5433;-34.9466;63.0364
585;"FAF4LeadlikeFilter;RuleOfVeberFilter";94.5433;-35.1364;62.8356
588;"FAF4LeadlikeFilter;TiceHerbicidesFilter";94.5433;-35.1483;62.8231
760;"MLSMRFilter;ValenceDiscoveryFilter";94.5433;-35.2788;62.6851
513;"BrenkFilter;FAF4DruglikeFilter";94.5433;-35.3855;62.5721
631;"GlaxoFilter;RuleOfThreeFilter";94.5433;-35.8837;62.0452
541;"FAF4DruglikeFilter;FAF4LeadlikeFilter";94.5433;-35.9668;61.9573
672;"HaoFilter;PfizerFilter";94.5433;-36.038;61.8821
696;"InpharmaticaFilter;RuleOfThreeFilter";94.5433;-36.0735;61.8444
576;"FAF4LeadlikeFilter;MolecularWeightFilter";94.5433;-36.1329;61.7817
666;"HaoFilter;MLSMRFilter";94.5433;-36.1803;61.7315
517;"BrenkFilter;GSKFilter";94.5433;-36.2159;61.6939
580;"FAF4LeadlikeFilter;PAINSFilter";94.5433;-36.4531;61.4429
555;"FAF4DruglikeFilter;PfizerFilter";94.5433;-36.4531;61.4429
573;"FAF4LeadlikeFilter;LINTFilter";94.5433;-36.4769;61.4178
504;"BMSFilter;RuleOfTwoFilter";94.5433;-36.9988;60.8657
682;"HaoFilter;ValenceDiscoveryFilter";94.5433;-37.0937;60.7654
736;"LipinskiFilter;RuleOfTwoFilter";94.5433;-37.1649;60.6901
697;"InpharmaticaFilter;RuleOfTwoFilter";94.5433;-37.6512;60.1757
675;"HaoFilter;RuleOfThreeFilter";94.5433;-37.6987;60.1255
590;"FAF4LeadlikeFilter;ValenceDiscoveryFilter";94.5433;-38.0308;59.7742
716;"LINTFilter;RuleOfThreeFilter";94.5433;-38.0664;59.7365
545;"FAF4DruglikeFilter;HaoFilter";94.5433;-38.1139;59.6863
605;"GhoseFilter;PfizerFilter";94.5433;-38.2444;59.5483
